Qaraqosh;ka.ʁa.kɔʃ
quadruplement;kwa.dʁy.plə.mɑ̃
quadruplent;kwa.dʁypl
quadrupler;ka.dʁy.ple
quadruplera;kwa.dʁy.plə.ʁa
quadruplerai;kwa.dʁy.plə.ʁe
quadrupleraient;kwa.dʁy.plə.ʁɛ
quadruplerais;kwa.dʁy.plə.ʁɛ
quadruplerait;kwa.dʁy.plə.ʁɛ
quadrupleras;kwa.dʁy.plə.ʁa
quadruplerez;kwa.dʁy.plə.ʁe
quadrupleriez;kwa.dʁy.plə.ʁje
quadruplerions;kwa.dʁy.plə.ʁjɔ̃
quadruplerons;kwa.dʁy.plə.ʁɔ̃
quadrupleront;kwa.dʁy.plə.ʁɔ̃
quadruples;kwa.dʁypl
quadruplet;kwa.dʁyplɛ
quadruplette;kwa.dʁy.plɛt
quadruplettes;kwa.dʁy.plɛt
quadruplex;ka.dʁy.plɛks
quadruplez;ka.dʁy.ple
quadruplicante;ka.kɔ.lɔ.ʒi
quadruplicantesi;ka.kɔ.lɔ.ʒi
quadruplication;kwa.dʁy.pli.ka.sjɔ̃
quadrupliez;kwa.dʁy.pli.je
quadruplions;kwa.dʁy.pli.jɔ̃
quadruplique;kwa.dʁy.plik
quadruplo;kwa.dʁyplɛ
quadruplon;kwa.dʁy.plɔ̃
quadruplons;kwa.dʁy.plɔ̃
quads;kwad
quae;kys.tɔd
quai;kɛ
quaiage;ka.ʁɑ̃t.nɛʁ
quairelle;ke.ʁɛl
quais;ke
quakérismes;kwa.ke.ʁism
quakeresse;kwɛk.ʁɛs
quakeresses;kwɛk.ʁɛs
quakerisme;kwa.kə.ʁism
quakerismes;kwa.kə.ʁism
quakeriste;kwa.kə.ʁist
quakeristes;kwɛk.ʁɛs
quakers;kwɛ.kœʁ
quakre;kwakʁ
quakres;kwakʁ
quakresse;kwak.ʁɛs
quakresses;kwak.ʁɛs
qual;kwal
qualia;kwɑlia
qualidade;kwal
qualif;ka.lif
qualifiâmes;ka.li.fjam
qualifiât;ka.li.fja
qualifiâtes;ka.li.fjat
qualifièrent;ka.li.fjɛʁ
qualifié;ka.li.fje
qualifiée;ka.li.fje
qualifiées;ka.li.fje
qualifiés;ka.li.fje
qualifia;ka.li.fja
qualifiable;ka.li.fjabl
qualifiables;kwɛk.ʁɛs
qualifiai;ka.li.fje
qualifiaient;ka.li.fjɛ
qualifiais;ka.li.fjɛ
qualifiait;ka.li.fjɛ
qualifiant;ka.li.fjɑ̃
qualifiante;ka.li.fjɑ̃t
qualifiantes;ka.li.fjɑ̃t
qualifiants;ka.li.fjɑ̃
qualifias;ka.li.fja
qualifiasse;ka.li.fjas
qualifiassent;ka.li.fjas
qualifiasses;ka.li.fjas
qualifiassiez;ka.li.fja.sje
qualifiassions;ka.li.fja.sjɔ̃
qualificateur;ka.li.fi.ka.tœʁ
qualificateurs;kwɛk.ʁɛs
qualificatif;ka.li.fi.ka.tif
qualificatifs;ka.li.fi.ka.tif
qualification;ka.li.fi.ka.sjɔ̃
qualifications;ka.li.fi.ka.sjɔ̃
qualificative;ka.li.fi.ka.tiv
qualificatives;ka.li.fi.ka.tiv
qualifie;ka.li.fi
qualifient;ka.li.fi
qualifier;ka.li.fje
qualifiera;ka.li.fi.ʁa
qualifierai;ka.li.fi.ʁe
qualifieraient;ka.li.fi.ʁɛ
qualifierais;ka.li.fi.ʁɛ
qualifierait;ka.li.fi.ʁɛ
qualifieras;ka.li.fi.ʁa
qualifierez;ka.li.fi.ʁe
qualifieriez;ka.li.fi.ʁje
qualifierions;ka.li.fi.ʁjɔ̃
qualifierons;ka.li.fi.ʁɔ̃
qualifieront;ka.li.fi.ʁɔ̃
qualifies;ka.li.fi
qualifiez;ka.li.fje
qualifiiez;ka.li.fi.je
qualifiions;ka.li.fi.jɔ̃
qualifions;ka.li.fjɔ̃
qualifs;ka.lif
qualimétrie;ka.li.me.tʁi
qualimétries;kwɛk.ʁɛs
qualité;ka.li.te
qualités;ka.li.te
qualitat;kadʁ
qualitatifs;ka.li.ta.tif
qualitative;ka.li.ta.tiv
qualitativement;ka.li.ta.ti.və.mɑ̃
qualitatives;ka.li.ta.tiv
qualiteuse;ka.li.tøz
qualiteuses;ka.li.tøz
qualiteux;ka.li.tø
qualiticien;ka.li.ti.sjɛ̃
qualiticienne;ka.li.ti.sjɛ̃n
qualiticiennes;ka.li.ti.sjɛ̃n
qualiticiens;ka.li.ti.sjɛ̃
qualora;ka.li.ʒɛn
qualquetrix;ku.flas
qualsevol;ka.pi.ta
quamassie;ka.ma.si
quamassies;ka.ma.si
quamquams;kɑ̃.pa.ɲjɛ̃
quand;kɑ̃
quandary;ka.li.sɔ̃
quando;kɑ̃
quangocrats;kʁɔ.ma.to.ɡʁa.fi
quanquams;kɑ̃.pa.ɲjɛ̃
quanquanâmes;kɑ̃.ka.nam
quanquanât;kɑ̃.ka.na
quanquanâtes;kɑ̃.ka.nat
quanquanèrent;kɑ̃.ka.nɛʁ
quanquané;kɑ̃.ka.ne
quanquanée;kɑ̃.ka.ne
quanquanées;kɑ̃.ka.ne
quanquanés;kɑ̃.ka.ne
quanquana;kɑ̃.ka.na
quanquanai;kɑ̃.ka.ne
quanquanaient;kɑ̃.ka.nɛ
quanquanais;kɑ̃.ka.nɛ
quanquanait;kɑ̃.ka.nɛ
quanquanant;kɑ̃.ka.nɑ̃
quanquanas;kɑ̃.ka.na
quanquanasse;kɑ̃.ka.nas
quanquanassent;kɑ̃.ka.nas
quanquanasses;kɑ̃.ka.nas
quanquanassiez;kɑ̃.ka.na.sje
quanquanassions;kɑ̃.ka.na.sjɔ̃
quanquane;kɑ̃.kan
quanquanent;kɑ̃.kan
quanquaner;kɑ̃.ka.ne
quanquanera;kɑ̃.ka.nə.ʁa
quanquanerai;kɑ̃.ka.nə.ʁe
quanquaneraient;kɑ̃.ka.nə.ʁɛ
quanquanerais;kɑ̃.ka.nə.ʁɛ
quanquanerait;kɑ̃.ka.nə.ʁɛ
quanquaneras;kɑ̃.ka.nə.ʁa
quanquanerez;kɑ̃.ka.nə.ʁe
quanquaneriez;kɑ̃.ka.nə.ʁje
quanquanerions;kɑ̃.ka.nə.ʁjɔ̃
quanquanerons;kɑ̃.ka.nə.ʁɔ̃
quanquaneront;kɑ̃.ka.nə.ʁɔ̃
quanquanes;kɑ̃.kan
quanquanez;kɑ̃.ka.ne
quanquanier;kɑ̃.ka.ne
quanquaniez;kɑ̃.ka.nje
quanquanions;kɑ̃.ka.njɔ̃
quanquanons;kɑ̃.ka.nɔ̃
quanquans;kɑ̃.pa.ɲjɛ̃
quant;kɑ̃t
quanta;kɑ̃.ta
quantes;kɑ̃t
quanteso;ka.ʁə.ʁa
quantième;kɑ̃.tjɛm
quantièmes;kɑ̃.tjɛm
quantia;kwal
quantidade;kwal
quantifiâmes;kɑ̃.ti.fjam
quantifiât;kɑ̃.ti.fja
quantifiâtes;kɑ̃.ti.fjat
quantifièrent;kɑ̃.ti.fjɛʁ
quantifié;kɑ̃.ti.fje
quantifiée;kɑ̃.ti.fje
quantifiées;kɑ̃.ti.fje
quantifiés;kɑ̃.ti.fje
quantifia;kɑ̃.ti.fja
quantifiai;kɑ̃.ti.fje
quantifiaient;kɑ̃.ti.fjɛ
quantifiais;kɑ̃.ti.fjɛ
quantifiait;kɑ̃.ti.fjɛ
quantifiant;kɑ̃.ti.fjɑ̃
quantifias;kɑ̃.ti.fja
quantifiasse;kɑ̃.ti.fjas
quantifiassent;kɑ̃.ti.fjas
quantifiasses;kɑ̃.ti.fjas
quantifiassiez;kɑ̃.ti.fja.sje
quantifiassions;kɑ̃.ti.fja.sjɔ̃
quantificateur;kɑ̃.ti.fi.ka.tœʁ
quantification;kɑ̃.ti.fi.ka.sjɔ̃
quantifications;kɑ̃.ti.fi.ka.sjɔ̃
quantificatore;ko.do.do.te
quantificatori;ko.do.do.te
quantifie;kɑ̃.ti.fi
quantifient;kɑ̃.ti.fi
quantifier;kɑ̃.ti.fje
quantifiera;kɑ̃.ti.fi.ʁa
quantifierai;kɑ̃.ti.fi.ʁe
quantifieraient;kɑ̃.ti.fi.ʁɛ
quantifierais;kɑ̃.ti.fi.ʁɛ
quantifierait;kɑ̃.ti.fi.ʁɛ
quantifieras;kɑ̃.ti.fi.ʁa
quantifierez;kɑ̃.ti.fi.ʁe
quantifieriez;kɑ̃.ti.fi.ʁje
quantifierions;kɑ̃.ti.fi.ʁjɔ̃
quantifierons;kɑ̃.ti.fi.ʁɔ̃
quantifieront;kɑ̃.ti.fi.ʁɔ̃
quantifies;kɑ̃.ti.fi
quantifieur;kɑ̃.ti.fjœʁ
quantifiez;kɑ̃.ti.fje
quantifiiez;kɑ̃.ti.fi.je
quantifiions;kɑ̃.ti.fi.jɔ̃
quantifions;kɑ̃.ti.fjɔ̃
quantify;kɑ̃.ti.fi.ka.sjɔ̃
quantique;kɑ̃.tik
quantiques;kɑ̃.tik
quantité;kɑ̃.ti.te
quantités;kɑ̃.ti.te
quantitat;kɑ̃
quantitatifs;kɑ̃.ti.ta.tif
quantitative;kɑ̃.ti.ta.tiv
quantitativement;kɑ̃.ti.ta.ti.və.mɑ̃
quantitatives;kɑ̃.ti.ta.tiv
quanto;kɑ̃.to
quantum;kɑ̃.tɔm
quantums;kɑ̃.tɔm
quarantain;ka.ʁɑ̃.tɛ̃
quarantaine;ka.ʁɑ̃.tɛn
quarantaines;ka.ʁɑ̃.tɛn
quarante;ka.ʁɑ̃t
quarantenaire;ka.ʁɑ̃t.nɛʁ
quarantenaires;ka.ʁɑ̃t.nɛʁ
quarantième;ka.ʁɑ̃.tjɛm
quarantie;ka.ʁɑ̃.ti
quarantin;ka.ʁɑ̃.tɛ̃
quarantuples;ka.ʁɑ̃.typl
quarderonnâmes;kaʁ.də.ʁɔ.nam
quarderonnât;kaʁ.də.ʁɔ.na
quarderonnâtes;kaʁ.də.ʁɔ.nat
quarderonnèrent;kaʁ.də.ʁɔ.nɛʁ
quarderonné;kaʁ.də.ʁɔ.ne
quarderonnée;kaʁ.də.ʁɔ.ne
quarderonnées;kaʁ.də.ʁɔ.ne
quarderonnés;kaʁ.də.ʁɔ.ne
quarderonna;kaʁ.də.ʁɔ.na
quarderonnai;kaʁ.də.ʁɔ.ne
quarderonnaient;kaʁ.də.ʁɔ.nɛ
quarderonnais;kaʁ.də.ʁɔ.nɛ
quarderonnait;kaʁ.də.ʁɔ.nɛ
quarderonnant;kaʁ.də.ʁɔ.nɑ̃
quarderonnas;kaʁ.də.ʁɔ.na
quarderonnasse;kaʁ.də.ʁɔ.nas
quarderonnassent;kaʁ.də.ʁɔ.nas
quarderonnasses;kaʁ.də.ʁɔ.nas
quarderonnassiez;kaʁ.də.ʁɔ.na.sje
quarderonnassions;kaʁ.də.ʁɔ.na.sjɔ̃
quarderonne;kaʁ.də.ʁɔn
quarderonnent;kaʁ.də.ʁɔn
quarderonner;kaʁ.də.ʁɔ.ne
quarderonnera;kaʁ.də.ʁɔ.nə.ʁa
quarderonnerai;kaʁ.də.ʁɔ.nə.ʁe
quarderonneraient;kaʁ.də.ʁɔ.nə.ʁɛ
quarderonnerais;kaʁ.də.ʁɔ.nə.ʁɛ
quarderonnerait;kaʁ.də.ʁɔ.nə.ʁɛ
quarderonneras;kaʁ.də.ʁɔ.nə.ʁa
quarderonnerez;kaʁ.də.ʁɔ.nə.ʁe
quarderonneriez;kaʁ.də.ʁɔ.nə.ʁje
quarderonnerions;kaʁ.də.ʁɔ.nə.ʁjɔ̃
quarderonnerons;kaʁ.də.ʁɔ.nə.ʁɔ̃
quarderonneront;kaʁ.də.ʁɔ.nə.ʁɔ̃
quarderonnes;kaʁ.də.ʁɔn
quarderonnez;kaʁ.də.ʁɔ.ne
quarderonniez;kaʁ.də.ʁɔ.nje
quarderonnions;kaʁ.də.ʁɔ.njɔ̃
quarderonnons;kaʁ.də.ʁɔ.nɔ̃
quaresma;ka.ʁə.ʁa
quark;kwaʁk
quarkonique;kwaʁ.kɔ.nik
quarkoniques;kwaʁ.kɔ.nik
quarks;kwaʁk
quarrâmes;ka.ʁam
quarrât;ka.ʁa
quarrâtes;ka.ʁat
quarrèrent;ka.ʁɛʁ
quarré;ka.ʁe
quarrée;ka.ʁe
quarrées;ka.ʁe
quarrément;ka.ʁe.mɑ̃
quarrés;ka.ʁe
quarra;ka.ʁa
quarrai;ka.ʁɛ
quarraient;ka.ʁɛ
quarrais;ka.ʁɛ
quarrait;ka.ʁɛ
quarrant;ka.ʁɑ̃
quarras;ka.ʁa
quarrasse;ka.ʁas
quarrassent;ka.ʁas
quarrasses;ka.ʁas
quarrassiez;ka.ʁa.sje
quarrassions;ka.ʁa.sjɔ̃
quarre;ka.ʁɑ̃
quarrent;kaʁ
quarrer;ka.ʁe
quarrera;ka.ʁə.ʁa
quarrerai;ka.ʁə.ʁe
quarreraient;ka.ʁə.ʁɛ
quarrerais;ka.ʁə.ʁɛ
quarrerait;ka.ʁə.ʁɛ
quarreras;ka.ʁə.ʁa
quarrerez;ka.ʁə.ʁe
quarreriez;ka.ʁə.ʁje
quarrerions;ka.ʁə.ʁjɔ̃
quarrerons;ka.ʁə.ʁɔ̃
quarreront;ka.ʁə.ʁɔ̃
quarres;ka.ʁɑ̃
quarreur;ka.ʁœʁ
quarrez;ka.ʁe
quarries;kɑ̃.ti.fi.ka.sjɔ̃
quarriez;ka.ʁje
quarrions;ka.ʁjɔ̃
quarrons;ka.ʁɔ̃
quartâmes;kaʁ.tam
quartât;kaʁ.ta
quartâtes;kaʁ.tat
quartèrent;kaʁ.tɛʁ
quarté;kaʁ.te
quartée;kaʁ.te
quartées;kaʁ.te
quartés;kaʁ.te
quart;kaʁ
quartaïeul;kɔ̃.tʁə.bʁa.kɛʁ
quarta;kaʁ.ta
quartagèrent;kaʁ.ta.ʒɛʁ
quartagé;kaʁ.ta.ʒe
quartagée;kaʁ.ta.ʒe
quartagées;kaʁ.ta.ʒe
quartagés;kaʁ.ta.ʒe
quartageâmes;kaʁ.ta.ʒam
quartageât;kaʁ.ta.ʒa
quartageâtes;kaʁ.ta.ʒat
quartage;kaʁ.taʒ
quartagea;kaʁ.ta.ʒa
quartageai;kaʁ.ta.ʒe
quartageaient;kaʁ.ta.ʒɛ
quartageais;kaʁ.ta.ʒɛ
quartageait;kaʁ.ta.ʒɛ
quartageant;kaʁ.ta.ʒɑ̃
quartageas;kaʁ.ta.ʒa
quartageasse;kaʁ.ta.ʒas
quartageassent;kaʁ.ta.ʒas
quartageasses;kaʁ.ta.ʒas
quartageassiez;kaʁ.ta.ʒa.sje
quartageassions;kaʁ.ta.ʒa.sjɔ̃
quartagent;kaʁ.taʒ
quartageons;kaʁ.ta.ʒɔ̃
quartager;kaʁ.ta.ʒe
quartagera;kaʁ.ta.ʒə.ʁa
quartagerai;kaʁ.ta.ʒə.ʁe
quartageraient;kaʁ.ta.ʒə.ʁɛ
quartagerais;kaʁ.ta.ʒə.ʁɛ
quartagerait;kaʁ.ta.ʒə.ʁɛ
quartageras;kaʁ.ta.ʒə.ʁa
quartagerez;kaʁ.ta.ʒə.ʁe
quartageriez;kaʁ.ta.ʒə.ʁje
quartagerions;kaʁ.ta.ʒə.ʁjɔ̃
quartagerons;kaʁ.ta.ʒə.ʁɔ̃
quartageront;kaʁ.ta.ʒə.ʁɔ̃
quartages;kaʁ.taʒ
quartagez;kaʁ.ta.ʒe
quartagiez;kaʁ.ta.ʒje
quartagions;kaʁ.ta.ʒjɔ̃
quartai;kaʁ.te
quartaient;kaʁ.tɛ
quartaine;ka.zi.mo.do
quartaire;kaʁ.tɛʁ
quartais;kaʁ.tɛ
quartait;kaʁ.tɛ
quartan;kwa.sja
quartanier;kaʁ.ta.nje
quartaniers;kaʁ.ta.nje
quartant;kaʁ.tɑ̃
quartas;kaʁ.ta
quartasse;kaʁ.tas
quartassent;kaʁ.tas
quartasses;kaʁ.tas
quartassiez;kaʁ.ta.sje
quartassions;kaʁ.ta.sjɔ̃
quartation;kwaʁ.ta.sjɔ̃
quartations;kwaʁ.ta.sjɔ̃
quartaut;kaʁ.tɔ
quartauts;kwaʁ.ta.sjɔ̃
quarte;kaʁt
quartefeuille;kaʁt.fœj
quartefeuilles;kaʁt.fœj
quartel;kwal
quartenier;kaʁ.tə.nje
quarteniers;kwɛk.ʁɛs
quartent;kaʁt
quarter;kaʁ.te
quartera;kaʁ.tə.ʁa
quarterai;kaʁ.tə.ʁe
quarteraient;kaʁ.tə.ʁɛ
quarterais;kaʁ.tə.ʁɛ
quarterait;kaʁ.tə.ʁɛ
quarteras;kaʁ.tə.ʁa
quarterback;kwaʁ.tœʁ.bak
quarterez;kaʁ.tə.ʁe
quarteriez;kaʁ.tə.ʁje
quarterions;kaʁ.tə.ʁjɔ̃
quarteron;kaʁ.tə.ʁɔ̃
quarteronne;kaʁ.tə.ʁɔn
quarteronnes;kaʁ.tə.ʁɔn
quarterons;kaʁ.tə.ʁɔ̃
quarteront;kaʁ.tə.ʁɔ̃
quartes;kaʁt
quartet;kwaʁ.tɛ
quartets;kwaʁ.tɛt
quartette;kwaʁ.tɛt
quartettes;kwaʁ.tɛt
quartetto;kwaʁ.tɛ.to
quartez;kaʁ.te
quartidi;kaʁ.ti.di
quartier;kaʁ.tje
quartiers;kaʁ.tje
quartiez;kaʁ.tje
quartilâmes;kwaʁ.ti.lam
quartilât;kwaʁ.ti.la
quartilâtes;kwaʁ.ti.lat
quartilèrent;kwaʁ.ti.lɛʁ
quartilé;kwaʁ.ti.le
quartilée;kwaʁ.ti.le
quartilées;kwaʁ.ti.le
quartilés;kwaʁ.ti.le
quartil;kwaʁ.til
quartila;kwaʁ.ti.la
quartilai;kwaʁ.ti.le
quartilaient;kwaʁ.ti.lɛ
quartilais;kwaʁ.ti.lɛ
quartilait;kwaʁ.ti.lɛ
quartilant;kwaʁ.ti.lɑ̃
quartilas;kwaʁ.ti.la
quartilasse;kwaʁ.ti.las
quartilassent;kwaʁ.ti.las
quartilasses;kwaʁ.ti.las
quartilassiez;kwaʁ.ti.la.sje
quartilassions;kwaʁ.ti.la.sjɔ̃
quartile;kwaʁ.til
quartilent;kwaʁ.til
quartiler;kwaʁ.ti.le
quartilera;kwaʁ.ti.lə.ʁa
quartilerai;kwaʁ.ti.lə.ʁe
quartileraient;kwaʁ.ti.lə.ʁɛ
quartilerais;kwaʁ.ti.lə.ʁɛ
quartilerait;kwaʁ.ti.lə.ʁɛ
quartileras;kwaʁ.ti.lə.ʁa
quartilerez;kwaʁ.ti.lə.ʁe
quartileriez;kwaʁ.ti.lə.ʁje
quartilerions;kwaʁ.ti.lə.ʁjɔ̃
quartilerons;kwaʁ.ti.lə.ʁɔ̃
quartileront;kwaʁ.ti.lə.ʁɔ̃
quartiles;kwaʁ.til
quartilez;kwaʁ.ti.le
quartiliez;kwaʁ.ti.lje
quartilions;kwaʁ.ti.ljɔ̃
quartilons;kwaʁ.ti.lɔ̃
quartils;kwaʁ.til
quartine;kaʁ.tin
quartinier;kaʁ.ti.nje
quartions;kaʁ.tjɔ̃
quartique;kaʁ.tik
quartiques;kwaʁ.tik
quarto;kwaʁ.to
quartoie;kaʁ.twa
quartoient;kaʁ.twa
quartoiera;kaʁ.twa.ʁa
quartoierai;kaʁ.twa.ʁe
quartoieraient;kaʁ.twa.ʁɛ
quartoierais;kaʁ.twa.ʁɛ
quartoierait;kaʁ.twa.ʁɛ
quartoieras;kaʁ.twa.ʁa
quartoierez;kaʁ.twa.ʁe
quartoieriez;kaʁ.twa.ʁje
quartoierions;kaʁ.twa.ʁjɔ̃
quartoierons;kaʁ.twa.ʁɔ̃
quartoieront;kaʁ.twa.ʁɔ̃
quartoies;kaʁ.twa
quartons;kaʁ.tɔ̃
quartoyâmes;kaʁ.twa.jam
quartoyât;kaʁ.twa.ja
quartoyâtes;kaʁ.twa.jat
quartoyèrent;kaʁ.twa.jɛʁ
quartoyé;kaʁ.twa.je
quartoya;kaʁ.twa.ja
quartoyai;kaʁ.twa.je
quartoyaient;kaʁ.twa.jɛ
quartoyais;kaʁ.twa.jɛ
quartoyait;kaʁ.twa.jɛ
quartoyant;kaʁ.twa.jɑ̃
quartoyas;kaʁ.twa.ja
quartoyasse;kaʁ.twa.jas
quartoyassent;kaʁ.twa.jas
quartoyasses;kaʁ.twa.jas
quartoyassiez;kaʁ.twa.ja.sje
quartoyassions;kaʁ.twa.ja.sjɔ̃
quartoyer;kaʁ.twa.je
quartoyez;kaʁ.twa.je
quartoyiez;kaʁ.twa.je
quartoyions;kaʁ.twa.jɔ̃
quartoyons;kaʁ.twa.jɔ̃
quarts;kaʁ
quartzé;kwaʁ.tse
quartz;kwaʁts
quartzeuse;kwa.ʁtsøz
quartzeuses;kwa.ʁtsøz
quartzifère;kwaʁ.tsi.fɛʁ
quartzifiâmes;kwaʁ.tsi.fjam
quartzifiât;kwaʁ.tsi.fja
quartzifiâtes;kwaʁ.tsi.fjat
quartzifièrent;kwaʁ.tsi.fjɛʁ
quartzifié;kwaʁ.tsi.fje
quartzifiée;kwaʁ.tsi.fje
quartzifiées;kwaʁ.tsi.fje
quartzifiés;kwaʁ.tsi.fje
quartzifia;kwaʁ.tsi.fja
quartzifiai;kwaʁ.tsi.fje
quartzifiaient;kwaʁ.tsi.fjɛ
quartzifiais;kwaʁ.tsi.fjɛ
quartzifiait;kwaʁ.tsi.fjɛ
quartzifiant;kwaʁ.tsi.fjɑ̃
quartzifias;kwaʁ.tsi.fja
quartzifiasse;kwaʁ.tsi.fjas
quartzifiassent;kwaʁ.tsi.fjas
quartzifiasses;kwaʁ.tsi.fjas
quartzifiassiez;kwaʁ.tsi.fja.sje
quartzifiassions;kwaʁ.tsi.fja.sjɔ̃
quartzifie;kwaʁ.tsi.fi
quartzifient;kwaʁ.tsi.fi
quartzifier;kwaʁ.tsi.fje
quartzifiera;kwaʁ.tsi.fi.ʁa
quartzifierai;kwaʁ.tsi.fi.ʁe
quartzifieraient;kwaʁ.tsi.fi.ʁɛ
quartzifierais;kwaʁ.tsi.fi.ʁɛ
quartzifierait;kwaʁ.tsi.fi.ʁɛ
quartzifieras;kwaʁ.tsi.fi.ʁa
quartzifierez;kwaʁ.tsi.fi.ʁe
quartzifieriez;kwaʁ.tsi.fi.ʁje
quartzifierions;kwaʁ.tsi.fi.ʁjɔ̃
quartzifierons;kwaʁ.tsi.fi.ʁɔ̃
quartzifieront;kwaʁ.tsi.fi.ʁɔ̃
quartzifies;kwaʁ.tsi.fi
quartzifiez;kwaʁ.tsi.fje
quartzifiiez;kwaʁ.tsi.fi.je
quartzifiions;kwaʁ.tsi.fi.jɔ̃
quartzifions;kwaʁ.tsi.fjɔ̃
quartziforme;kwaʁ.tsi.fɔʁm
quartziformes;kwaʁ.tsi.fɔʁm
quartzite;kwaʁ.tsit
quarz;kwaʁts
quarzeuse;ka.bɔ.tœʁ
quarzeuses;ka.bɔ.tœʁ
quarzeux;kwaʁts
quasèrn;kɔ̃.va.ʁje.te
quas;kvas
quasar;kwa.zaʁ
quasars;kwa.zaʁ
quasartje;klɛ.mɑ̃.vi.la
quasartjes;klɛ.mɑ̃.vi.la
quasi;ka.zi
quasifission;ka.zi.fi.sjɔ̃
quasiment;ka.zi.mɑ̃
quasimodo;ka.zi.mo.do
quasimodos;ka.zi.mɔ.dɔ
quasiparticule;ka.zi.paʁ.ti.kyl
quasiparticules;ka.zi.paʁ.ti.kyl
quassia;kwa.sja
quassias;kwa.sja
quassier;kwa.sje
quassiers;kwa.sje
quassinoids;kwa.sja
quassite;kwa.sit
quastelongne;ke.ʁɔ̃
quaterdecies;ka.tɛʁ.de.sjɛs
quaternaire;kwa.tɛʁ.nɛʁ
quaterne;kwaʁ.ta.sjɔ̃
quaternifolié;kwa.tɛʁ.ni.fɔ.lje
quaternion;kwa.tɛʁ.njɔ̃
quaternions;kwa.tɛʁ.njɔ̃
quaternité;kwa.tɛʁ.ni.te
quatorzaine;ka.tɔʁ.zɛn
quatorze;ka.tɔʁz
quatorzième;ka.tɔʁ.zjɛm
quatorzièmes;ka.tɔʁ.zjɛm
quatrain;ka.tʁɛ̃
quatrains;kat.ʁɛ̃
quatre;katʁ
quatres;ka.tʁəz
quatrevingt;ka.tʁə.vɛ̃
quatrevingts;ka.tʁə.vɛ̃
quatrième;ka.tʁi.jɛm
quatrièmement;kat.ʁi.jɛm.mɑ̃
quatriennal;kɛs.tœʁ
quatriennale;kwa.tʁi.jɛ.nal
quatriennales;kwa.tʁi.jɛ.nal
quatriennaux;kwa.tʁi.jɛ.no
quatrillion;kwa.tʁi.ljɔ̃
quatro;kwal
quattrocento;kwat.ʁɔʃ.tɛn.tɔ
quatuor;kwa.tɥɔʁ
quatuors;kwa.tɥɔʁ
quatuorvirat;kwa.tɥɔʁ.vi.ʁa
quatuorvirats;kwa.tɥɔʁ.vi.ʁa
quayage;kwa.tɥɔʁ
quaze;ka.ʁə.ʁa
qubit;ky.bit
qubits;ky.bit
qudrat;ky.dʁat
que;kə
quebâmes;kə.bam
quebât;kə.ba
quebâtes;kə.bat
quebèrent;kə.bɛʁ
quebé;kə.be
quebée;kə.be
quebées;kə.be
quebés;kə.be
queba;kə.ba
quebai;kə.be
quebaient;kə.bɛ
quebais;kə.bɛ
quebait;kə.bɛ
quebant;kə.bɑ̃
quebas;kə.ba
quebasse;kə.bas
quebassent;kə.bas
quebasses;kə.bas
quebassiez;kə.ba.sje
quebassions;kə.ba.sjɔ̃
queber;kə.be
quebez;kə.be
quebiez;kə.bje
quebions;kə.bjɔ̃
quebons;kə.bɔ̃
quebra;kwal
quebrar;kwal
quechiera;kɛ.za.ko
quechua;ke.ʃɥa
quechuas;ke.ʃɥa
quedar;kɑ̃
quedo;kwal
queenslandais;kwins.lɑ̃.dɛ
queer;kwiʁ
queerisâmes;kwi.ʁi.zam
queerisât;kwi.ʁi.za
queerisâtes;kwi.ʁi.zat
queerisèrent;kwi.ʁi.zɛʁ
queerisé;kwi.ʁi.ze
queerisée;kwi.ʁi.ze
queerisées;kwi.ʁi.ze
queerisés;kwi.ʁi.ze
queerisa;kwi.ʁi.za
queerisai;kwi.ʁi.ze
queerisaient;kwi.ʁi.zɛ
queerisais;kwi.ʁi.zɛ
queerisait;kwi.ʁi.zɛ
queerisant;kwi.ʁi.zɑ̃
queerisas;kwi.ʁi.za
queerisasse;kwi.ʁi.zas
queerisassent;kwi.ʁi.zas
queerisasses;kwi.ʁi.zas
queerisassiez;kwi.ʁi.za.sje
queerisassions;kwi.ʁi.za.sjɔ̃
queerise;kwi.ʁiz
queerisent;kwi.ʁiz
queeriser;kwi.ʁi.ze
queerisera;kwi.ʁi.zə.ʁa
queeriserai;kwi.ʁi.zə.ʁe
queeriseraient;kwi.ʁi.zə.ʁɛ
queeriserais;kwi.ʁi.zə.ʁɛ
queeriserait;kwi.ʁi.zə.ʁɛ
queeriseras;kwi.ʁi.zə.ʁa
queeriserez;kwi.ʁi.zə.ʁe
queeriseriez;kwi.ʁi.zə.ʁje
queeriserions;kwi.ʁi.zə.ʁjɔ̃
queeriserons;kwi.ʁi.zə.ʁɔ̃
queeriseront;kwi.ʁi.zə.ʁɔ̃
queerises;kwi.ʁiz
queerisez;kwi.ʁi.ze
queerisiez;kwi.ʁi.zje
queerisions;kwi.ʁi.zjɔ̃
queerisons;kwi.ʁi.zɔ̃
queijo;kwal
queimadura;kwal
queimar;kwal
queireret;kɛ.ʁə.ʁɛ
queixa;kwal
queixada;kwal
queixo;kwal
quel;kɛl
quelconque;kɛl.kɔ̃k
quelconques;kɛl.kɔ̃k
quelle;kɛl
quelles;kɛl
quelque;kɛlk
quelquefois;kɛl.kə.fwa
quelques;kɛlk
quelquetième;kɛl.kə.tjɛm
quels;kɛl
quena;ke.na
quenas;ke.na
