PàS;pe.a.ɛs
paumâmes;po.mam
paumât;po.ma
paumâtes;po.mat
paumèrent;po.mɛʁ
paumé;po.me
paumée;po.me
paumées;po.me
paumés;po.me
pauma;po.ma
paumai;po.me
paumaient;po.mɛ
paumais;po.mɛ
paumait;po.mɛ
paumant;po.mɑ̃
paumas;po.ma
paumasse;po.mas
paumassent;po.mas
paumasses;po.mas
paumassiez;po.ma.sje
paumassions;po.ma.sjɔ̃
paume;pom
paumelle;po.mɛl
paumelles;pɔ.mɛl
paument;pom
paumer;po.me
paumera;po.mə.ʁa
paumerai;po.mə.ʁe
paumeraient;po.mə.ʁɛ
paumerais;po.mə.ʁɛ
paumerait;po.mə.ʁɛ
paumeras;po.mə.ʁa
paumerez;po.mə.ʁe
paumeriez;po.mə.ʁje
paumerions;po.mə.ʁjɔ̃
paumerons;po.mə.ʁɔ̃
paumeront;po.mə.ʁɔ̃
paumes;pom
paumez;po.me
paumier;pa.vo
paumiers;pa.taʁ
paumiez;po.mje
paumille;po.mij
paumions;po.mjɔ̃
paumoie;po.mwa
paumoient;po.mwa
paumoiera;po.mwa.ʁa
paumoierai;po.mwa.ʁe
paumoieraient;po.mwa.ʁɛ
paumoierais;po.mwa.ʁɛ
paumoierait;po.mwa.ʁɛ
paumoieras;po.mwa.ʁa
paumoierez;po.mwa.ʁe
paumoieriez;po.mwa.ʁje
paumoierions;po.mwa.ʁjɔ̃
paumoierons;po.mwa.ʁɔ̃
paumoieront;po.mwa.ʁɔ̃
paumoies;po.mwa
paumons;po.mɔ̃
paumoyâmes;po.mwa.jam
paumoyât;po.mwa.ja
paumoyâtes;po.mwa.jat
paumoyèrent;po.mwa.jɛʁ
paumoyé;po.mwa.je
paumoyée;po.mwa.je
paumoyées;po.mwa.je
paumoyés;po.mwa.je
paumoya;po.mwa.ja
paumoyai;po.mwa.je
paumoyaient;po.mwa.jɛ
paumoyais;po.mwa.jɛ
paumoyait;po.mwa.jɛ
paumoyant;po.mwa.jɑ̃
paumoyas;po.mwa.ja
paumoyasse;po.mwa.jas
paumoyassent;po.mwa.jas
paumoyasses;po.mwa.jas
paumoyassiez;po.mwa.ja.sje
paumoyassions;po.mwa.ja.sjɔ̃
paumoyer;po.mwa.je
paumoyez;po.mwa.je
paumoyiez;po.mwa.je
paumoyions;po.mwa.jɔ̃
paumoyons;po.mwa.jɔ̃
paumure;po.myʁ
paumures;pa.tʁi.mɔ.nja.lism
paunâmes;po.nam
paunât;po.na
paunâtes;po.nat
paunèrent;po.nɛʁ
pauné;po.ne
paunée;po.ne
paunées;po.ne
paunés;po.ne
pauna;po.na
paunai;po.ne
paunaient;po.nɛ
paunais;po.nɛ
paunait;po.nɛ
paunaka;pa.o.na.ka
paunant;po.nɑ̃
paunas;po.na
paunasse;po.nas
paunassent;po.nas
paunasses;po.nas
paunassiez;po.na.sje
paunassions;po.na.sjɔ̃
paunch;pɑ̃.ti
paune;pon
paunent;pon
pauner;po.ne
paunera;po.nə.ʁa
paunerai;po.nə.ʁe
pauneraient;po.nə.ʁɛ
paunerais;po.nə.ʁɛ
paunerait;po.nə.ʁɛ
pauneras;po.nə.ʁa
paunerez;po.nə.ʁe
pauneriez;po.nə.ʁje
paunerions;po.nə.ʁjɔ̃
paunerons;po.nə.ʁɔ̃
pauneront;po.nə.ʁɔ̃
paunes;pon
paunez;po.ne
pauniez;po.nje
paunions;po.njɔ̃
paunons;po.nɔ̃
paupérisâmes;po.pe.ʁi.zam
paupérisât;po.pe.ʁi.za
paupérisâtes;po.pe.ʁi.zat
paupérisèrent;po.pe.ʁi.zɛʁ
paupérisé;po.pe.ʁi.ze
paupérisée;po.pe.ʁi.ze
paupérisées;po.pe.ʁi.ze
paupérisés;po.pe.ʁi.ze
paupérisa;po.pe.ʁi.za
paupérisable;po.pe.ʁi.zabl
paupérisai;po.pe.ʁi.ze
paupérisaient;po.pe.ʁi.zɛ
paupérisais;po.pe.ʁi.zɛ
paupérisait;po.pe.ʁi.zɛ
paupérisant;po.pe.ʁi.zɑ̃
paupérisas;po.pe.ʁi.za
paupérisasse;po.pe.ʁi.zas
paupérisassent;po.pe.ʁi.zas
paupérisasses;po.pe.ʁi.zas
paupérisassiez;po.pe.ʁi.za.sje
paupérisassions;po.pe.ʁi.za.sjɔ̃
paupérisation;po.pe.ʁi.za.sjɔ̃
paupérise;po.pe.ʁiz
paupérisent;po.pe.ʁiz
paupériser;po.pe.ʁi.ze
paupérisera;po.pe.ʁi.zə.ʁa
paupériserai;po.pe.ʁi.zə.ʁe
paupériseraient;po.pe.ʁi.zə.ʁɛ
paupériserais;po.pe.ʁi.zə.ʁɛ
paupériserait;po.pe.ʁi.zə.ʁɛ
paupériseras;po.pe.ʁi.zə.ʁa
paupériserez;po.pe.ʁi.zə.ʁe
paupériseriez;po.pe.ʁi.zə.ʁje
paupériserions;po.pe.ʁi.zə.ʁjɔ̃
paupériserons;po.pe.ʁi.zə.ʁɔ̃
paupériseront;po.pe.ʁi.zə.ʁɔ̃
paupérises;po.pe.ʁiz
paupérisez;po.pe.ʁi.ze
paupérisiez;po.pe.ʁi.zje
paupérisions;po.pe.ʁi.zjɔ̃
paupérisme;po.pe.ʁism
paupérismes;po.pe.ʁism
paupérisons;po.pe.ʁi.zɔ̃
paupériste;po.pe.ʁist
pauper;pwaz
pauperismo;pa.ʁa
paupière;po.pjɛʁ
paupières;pɔ.pjɛʁ
paupiette;po.pjɛt
paupiettes;pɔ.pjɛt
paupoire;po.pwaʁ
paura;pɑ̃.ka
paure;pʁɔ.fe.sɔ.ʁɛs
paurilha;fʁɑ̃.kɔ.ɛs.pa.ɲɔl
pausâmes;po.zam
pausât;po.za
pausâtes;po.zat
pausèrent;po.zɛʁ
pausé;po.ze
paus;po
pausa;po.za
pausai;po.ze
pausaient;po.zɛ
pausais;po.zɛ
pausait;po.zɛ
pausant;po.zɑ̃
pausas;po.za
pausasse;po.zas
pausassent;po.zas
pausasses;po.zas
pausassiez;po.za.sje
pausassions;po.za.sjɔ̃
pause;poz
pausent;poz
pauser;po.ze
pausera;po.zə.ʁa
pauserai;po.zə.ʁe
pauseraient;po.zə.ʁɛ
pauserais;po.zə.ʁɛ
pauserait;po.zə.ʁɛ
pauseras;po.zə.ʁa
pauserez;po.zə.ʁe
pauseriez;po.zə.ʁje
pauserions;po.zə.ʁjɔ̃
pauserna;po.zeʁ.na
pauserons;po.zə.ʁɔ̃
pauseront;po.zə.ʁɔ̃
pauses;poz
pausez;po.ze
pausiez;po.zje
pausions;po.zjɔ̃
pausons;po.zɔ̃
pauvre;povʁ
pauvres;povʁ
pauvresse;po.vʁɛs
pauvresses;pɔ.vʁɛs
pauvreté;po.vʁə.te
pauvretés;pɔ.vʁə.te
pauvret;po.vʁɛ
pauvrette;po.vʁɛt
pauvrettes;po.vʁɛt
paux;po
pauxi;po.ksi
pauzar;pa.ʁa
pauze;pɑ̃.te
pavâmes;pa.vam
pavât;pa.va
pavâtes;pa.vat
pavèrent;pa.vɛʁ
pavé;pa.ve
pavée;pa.ve
pavées;pa.ve
pavés;pa.ve
pavîmes;pa.vim
pavît;pa.vi
pavîtes;pa.vit
pava;pa.va
pavable;pa.vabl
pavables;pa.vabl
pavage;pa.vaʒ
pavages;pa.vaʒ
pavai;pa.ve
pavaient;pa.vɛ
pavais;pa.vɛ
pavait;pa.vɛ
pavanâmes;pa.va.nam
pavanât;pa.va.na
pavanâtes;pa.va.nat
pavanèrent;pa.va.nɛʁ
pavané;pa.va.ne
pavanée;pa.va.ne
pavanées;pa.va.ne
pavanés;pa.va.ne
pavana;pa.va.na
pavanai;pa.va.ne
pavanaient;pa.va.nɛ
pavanais;pa.va.nɛ
pavanait;pa.va.nɛ
pavanant;pa.va.nɑ̃
pavanas;pa.va.na
pavanasse;pa.va.nas
pavanassent;pa.va.nas
pavanasses;pa.va.nas
pavanassiez;pa.va.na.sje
pavanassions;pa.va.na.sjɔ̃
pavane;pa.van
pavanement;pa.van.mɑ̃
pavanements;pa.van.mɑ̃
pavanent;pa.van
pavaner;pa.va.ne
pavanera;pa.va.nə.ʁa
pavanerai;pa.va.nə.ʁe
pavaneraient;pa.va.nə.ʁɛ
pavanerais;pa.va.nə.ʁɛ
pavanerait;pa.va.nə.ʁɛ
pavaneras;pa.va.nə.ʁa
pavanerez;pa.va.nə.ʁe
pavaneriez;pa.va.nə.ʁje
pavanerions;pa.va.nə.ʁjɔ̃
pavanerons;pa.va.nə.ʁɔ̃
pavaneront;pa.va.nə.ʁɔ̃
pavanes;pa.van
pavaneur;pa.va.nœʁ
pavanez;pa.va.ne
pavaniez;pa.va.nje
pavanions;pa.va.njɔ̃
pavanons;pa.va.nɔ̃
pavant;pa.vɑ̃
pavas;pa.va
pavasse;pa.vas
pavassent;pa.vas
pavasses;pa.vas
pavassiez;pa.va.sje
pavassions;pa.va.sjɔ̃
pave;pav
pavement;pav.mɑ̃
pavements;pav.mɑ̃
pavent;pav
paver;pa.ve
pavera;pa.və.ʁa
paverai;pa.və.ʁe
paveraient;pa.və.ʁɛ
paverais;pa.və.ʁɛ
paverait;pa.və.ʁɛ
paveras;pa.və.ʁa
paverez;pa.və.ʁe
paveriez;pa.və.ʁje
paverions;pa.və.ʁjɔ̃
paverons;pa.və.ʁɔ̃
paveront;pa.və.ʁɔ̃
paves;pav
pavesade;pat.ʁi.jɔ.tik
paveton;pav.tɔ̃
pavetons;pav.tɔ̃
pavette;pa.vɛt
paveur;pa.vœʁ
paveurs;pa.vœʁ
pavez;pa.ve
paviâmes;pa.vjam
paviât;pa.vja
paviâtes;pa.vjat
pavièrent;pa.vjɛʁ
pavié;pa.vje
pavi;pa.vi
pavia;pa.vja
paviai;pa.vje
paviaient;pa.vjɛ
paviais;pa.vjɛ
paviait;pa.vjɛ
paviant;pa.vjɑ̃
pavias;pa.vja
paviasse;pa.vjas
paviassent;pa.vjas
paviasses;pa.vjas
paviassiez;pa.vja.sje
paviassions;pa.vja.sjɔ̃
pavie;pa.vi
pavient;pa.vi
pavier;pa.vi.je
paviera;pa.vi.ʁa
pavierai;pa.vi.ʁe
pavieraient;pa.vi.ʁɛ
pavierais;pa.vi.ʁɛ
pavierait;pa.vi.ʁɛ
pavieras;pa.vi.ʁa
pavierez;pa.vi.ʁe
pavieriez;pa.vi.ʁje
pavierions;pa.vi.ʁjɔ̃
pavierons;pa.vi.ʁɔ̃
pavieront;pa.vi.ʁɔ̃
pavies;pa.vi
paviez;pa.vje
paviiez;pa.vi.je
paviions;pa.vi.jɔ̃
paviljong;pa.sjɑ̃
pavillon;pa.vi.jɔ̃
pavillonnâmes;pa.vi.jɔ.nam
pavillonnât;pa.vi.jɔ.na
pavillonnâtes;pa.vi.jɔ.nat
pavillonnèrent;pa.vi.jɔ.nɛʁ
pavillonné;pa.vi.jɔ.ne
pavillonnée;pa.vi.jɔ.ne
pavillonnées;pa.vi.jɔ.ne
pavillonnés;pa.vi.jɔ.ne
pavillonna;pa.vi.jɔ.na
pavillonnai;pa.vi.jɔ.ne
pavillonnaient;pa.vi.jɔ.nɛ
pavillonnaire;pe.zo
pavillonnaires;pa.vi.jɔ.nɛʁ
pavillonnais;pa.vi.jɔ.nɛ
pavillonnait;pa.vi.jɔ.nɛ
pavillonnant;pa.vi.jɔ.nɑ̃
pavillonnas;pa.vi.jɔ.na
pavillonnasse;pa.vi.jɔ.nas
pavillonnassent;pa.vi.jɔ.nas
pavillonnasses;pa.vi.jɔ.nas
pavillonnassiez;pa.vi.jɔ.na.sje
pavillonnassions;pa.vi.jɔ.na.sjɔ̃
pavillonne;pa.vi.jɔn
pavillonnent;pa.vi.jɔn
pavillonner;pa.vi.jɔ.ne
pavillonnera;pa.vi.jɔ.nə.ʁa
pavillonnerai;pa.vi.jɔ.nə.ʁe
pavillonneraient;pa.vi.jɔ.nə.ʁɛ
pavillonnerais;pa.vi.jɔ.nə.ʁɛ
pavillonnerait;pa.vi.jɔ.nə.ʁɛ
pavillonneras;pa.vi.jɔ.nə.ʁa
pavillonnerez;pa.vi.jɔ.nə.ʁe
pavillonnerie;pa.vi.jɔ.nə.ʁi
pavillonneriez;pa.vi.jɔ.nə.ʁje
pavillonnerions;pa.vi.jɔ.nə.ʁjɔ̃
pavillonnerons;pa.vi.jɔ.nə.ʁɔ̃
pavillonneront;pa.vi.jɔ.nə.ʁɔ̃
pavillonnes;pa.vi.jɔn
pavillonneur;pa.vi.jɔ.nœʁ
pavillonnez;pa.vi.jɔ.ne
pavillonniez;pa.vi.jɔ.nje
pavillonnions;pa.vi.jɔ.njɔ̃
pavillonnons;pa.vi.jɔ.nɔ̃
pavillons;pa.vi.jɔ̃
pavimi;pʁe.dik.ti.bi.li.te
pavio;po.za
pavion;pa.vjɔ̃
pavions;pa.vjɔ̃
pavir;pa.viʁ
pavira;pa.vi.ʁa
pavirai;pa.vi.ʁe
paviraient;pa.vi.ʁɛ
pavirais;pa.vi.ʁɛ
pavirait;pa.vi.ʁɛ
paviras;pa.vi.ʁa
pavirent;pa.viʁ
pavirez;pa.vi.ʁe
paviriez;pa.vi.ʁje
pavirions;pa.vi.ʁjɔ̃
pavirons;pa.vi.ʁɔ̃
paviront;pa.vi.ʁɔ̃
pavis;pa.vi
pavisors;fisk
pavissaient;pa.vi.sɛ
pavissais;pa.vi.sɛ
pavissait;pa.vi.sɛ
pavissant;pa.vi.sɑ̃
pavisse;pa.vis
pavissent;pa.vis
pavisses;pa.vis
pavissez;pa.vi.se
pavissiez;pa.vi.sje
pavissions;pa.vi.sjɔ̃
pavissons;pa.vi.sɔ̃
pavit;pa.vi
pavlovien;pav.lɔ.vjɛ̃
pavlovienne;pav.lɔ.vjɛn
pavloviennes;pav.lɔ.vjɛn
pavloviens;pav.lɔ.vjɛ̃
pavoisâmes;pa.vwa.zam
pavoisât;pa.vwa.za
pavoisâtes;pa.vwa.zat
pavoisèrent;pa.vwa.zɛʁ
pavoisé;pa.vwa.ze
pavoisée;pa.vwa.ze
pavoisées;pa.vwa.ze
pavoisés;pa.vwa.ze
pavois;pa.vwa
pavoisa;pa.vwa.za
pavoisai;pa.vwa.ze
pavoisaient;pa.vwa.zɛ
pavoisais;pa.vwa.zɛ
pavoisait;pa.vwa.zɛ
pavoisant;pa.vwa.zɑ̃
pavoisas;pa.vwa.za
pavoisasse;pa.vwa.zas
pavoisassent;pa.vwa.zas
pavoisasses;pa.vwa.zas
pavoisassiez;pa.vwa.za.sje
pavoisassions;pa.vwa.za.sjɔ̃
pavoise;pa.vwaz
pavoisement;pa.vwaz.mɑ̃
pavoisements;po.pe.ʁism
pavoisent;pa.vwaz
pavoiser;pa.vwa.ze
pavoisera;pa.vwa.zə.ʁa
pavoiserai;pa.vwa.zə.ʁe
pavoiseraient;pa.vwa.zə.ʁɛ
pavoiserais;pa.vwa.zə.ʁɛ
pavoiserait;pa.vwa.zə.ʁɛ
pavoiseras;pa.vwa.zə.ʁa
pavoiserez;pa.vwa.zə.ʁe
pavoiseriez;pa.vwa.zə.ʁje
pavoiserions;pa.vwa.zə.ʁjɔ̃
pavoiserons;pa.vwa.zə.ʁɔ̃
pavoiseront;pa.vwa.zə.ʁɔ̃
pavoises;pa.vwaz
pavoisez;pa.vwa.ze
pavoisiez;pa.vwa.zje
pavoisions;pa.vwa.zjɔ̃
pavoisons;pa.vwa.zɔ̃
pavoncelle;pʁɔ.fe.sɔ.ʁɛs
pavonear;pʁo.top.las.ma
pavoni;pʁɔ.fe.sɔ.ʁɛs
pavono;pa.ʁa
pavons;pa.vɔ̃
pavor;po.za
pavot;pa.vo
pavots;pa.vɔ
pavouane;pa.vu.an
pavoyer;pa.vwa.je
pavut;pa.ʁɔ.nim
pawn;plat
pawnee;po.ni
pax;paks
paxon;pak.sɔ̃
paxons;pak.sɔ̃
paxtonnien;pak.stɔ.njɛ̃
paxtonnienne;pak.stɔ.njɛn
paxtonniennes;pak.stɔ.njɛn
paxtonniens;pak.stɔ.njɛ̃
payâmes;pɛ.jam
payât;pɛ.ja
payâtes;pɛ.jat
payèrent;pɛ.jɛʁ
payé;pɛ.je
payée;pɛ.je
payées;pɛ.je
payés;pɛ.je
payîz;pɔ.li.te
paya;pɛ.ja
payable;pɛ.jabl
payables;pɛ.jabl
payai;pɛ.je
payaient;pɛ.jɛ
payais;pɛ.jɛ
payait;pɛ.jɛ
payant;pɛ.jɑ̃
payante;pɛ.jɑ̃t
payantes;pɛ.jɑ̃t
payants;pɛ.jɑ̃
payas;pɛ.ja
payaso;pa.ta
payasse;pɛ.jas
payassent;pɛ.jas
payasses;pɛ.jas
payassiez;pɛ.ja.sje
payassions;pɛ.ja.sjɔ̃
paye;pɛj
payees;pʁɔ.tʁy.zjɔ̃
payement;pɛ.mɑ̃
payements;pɛj.mɑ̃
payen;pa.jɛ̃
payent;pɛj
payer;pe.je
payera;pɛ.jə.ʁa
payerai;pɛ.jə.ʁe
payeraient;pɛ.jə.ʁɛ
payerais;pɛ.jə.ʁɛ
payerait;pɛ.jə.ʁɛ
payeras;pɛ.jə.ʁa
payerez;pɛ.jə.ʁe
payeriez;pɛ.jə.ʁje
payerions;pɛ.jə.ʁjɔ̃
payerons;pɛ.jə.ʁɔ̃
payeront;pɛ.jə.ʁɔ̃
payes;pɛj
payeur;pɛ.jœʁ
payeurs;pɛ.jœʁ
payeuse;pɛ.jøz
payeuses;pɛ.jøz
payez;pɛ.je
payhtam;fut.bo.løz
payiez;pɛ.je
payions;pɛ.jɔ̃
paymasters;pɛʁ.ɡɔ.la
paynims;pa.li.lɔ.ʒi
payol;pa.jɔl
payons;pɛ.jɔ̃
payouts;paʁ.da.lɔt
pays;pe.i
paysagèrent;pɛ.i.za.ʒɛʁ
paysagé;pɛ.i.za.ʒe
paysagée;pɛ.i.za.ʒe
paysagées;pɛ.i.za.ʒe
paysagés;pe.i.za.ʒe
paysageâmes;pɛ.i.za.ʒam
paysageât;pɛ.i.za.ʒa
paysageâtes;pɛ.i.za.ʒat
paysage;pe.i.zaʒ
paysagea;pɛ.i.za.ʒa
paysageai;pɛ.i.za.ʒe
paysageaient;pɛ.i.za.ʒɛ
paysageais;pɛ.i.za.ʒɛ
paysageait;pɛ.i.za.ʒɛ
paysageant;pɛ.i.za.ʒɑ̃
paysageas;pɛ.i.za.ʒa
paysageasse;pɛ.i.za.ʒas
paysageassent;pɛ.i.za.ʒas
paysageasses;pɛ.i.za.ʒas
paysageassiez;pɛ.i.za.ʒa.sje
paysageassions;pɛ.i.za.ʒa.sjɔ̃
paysagent;pɛ.i.zaʒ
paysageons;pɛ.i.za.ʒɔ̃
paysager;pɛ.i.za.ʒe
paysagera;pɛ.i.za.ʒə.ʁa
paysagerai;pɛ.i.za.ʒə.ʁe
paysageraient;pɛ.i.za.ʒə.ʁɛ
paysagerais;pɛ.i.za.ʒə.ʁɛ
paysagerait;pɛ.i.za.ʒə.ʁɛ
paysageras;pɛ.i.za.ʒə.ʁa
paysagerez;pɛ.i.za.ʒə.ʁe
paysageriez;pɛ.i.za.ʒə.ʁje
paysagerions;pɛ.i.za.ʒə.ʁjɔ̃
paysagerons;pɛ.i.za.ʒə.ʁɔ̃
paysageront;pɛ.i.za.ʒə.ʁɔ̃
paysages;pɛ.i.zaʒ
paysagesque;pɛ.i.za.ʒɛsk
paysagesques;pɛ.i.ʒa.ɛsk
paysagez;pɛ.i.za.ʒe
paysagiez;pɛ.i.za.ʒje
paysagions;pɛ.i.za.ʒjɔ̃
paysagisme;pɛ.i.za.ʒism
paysagiste;pɛ.i.za.ʒist
paysagistes;pɛ.i.za.ʒist
paysan;pɛ.i.zɑ̃
paysandaille;pɛ.i.zɑ̃.daj
paysanesque;pɛ.i.za.nɛsk
paysannâmes;pɛ.i.za.nam
paysannât;pɛ.i.za.na
paysannâtes;pɛ.i.za.nat
paysannèrent;pɛ.i.za.nɛʁ
paysanné;pɛ.i.za.ne
paysanna;pɛ.i.za.na
paysannai;pɛ.i.za.ne
paysannaient;pɛ.i.za.nɛ
paysannais;pɛ.i.za.nɛ
paysannait;pɛ.i.za.nɛ
paysannant;pɛ.i.za.nɑ̃
paysannas;pɛ.i.za.na
paysannasse;pɛ.i.za.nas
paysannassent;pɛ.i.za.nas
paysannasses;pɛ.i.za.nas
paysannassiez;pɛ.i.za.na.sje
paysannassions;pɛ.i.za.na.sjɔ̃
paysannat;pav.lɔ.vjɛ̃
paysanne;pe.i.zan
paysannent;pɛ.i.zan
paysanner;pɛ.i.za.ne
paysannera;pɛ.i.za.nə.ʁa
paysannerai;pɛ.i.za.nə.ʁe
paysanneraient;pɛ.i.za.nə.ʁɛ
paysannerais;pɛ.i.za.nə.ʁɛ
paysannerait;pɛ.i.za.nə.ʁɛ
paysanneras;pɛ.i.za.nə.ʁa
paysannerez;pɛ.i.za.nə.ʁe
paysannerie;pɛ.i.zan.ʁi
paysanneries;po.pe.ʁism
paysanneriez;pɛ.i.za.nə.ʁje
paysannerions;pɛ.i.za.nə.ʁjɔ̃
paysannerons;pɛ.i.za.nə.ʁɔ̃
paysanneront;pɛ.i.za.nə.ʁɔ̃
paysannes;pe.i.zan
paysannez;pɛ.i.za.ne
paysanniez;pɛ.i.za.nje
paysannions;pɛ.i.za.njɔ̃
paysannons;pɛ.i.za.nɔ̃
paysans;pe.i.zɑ̃
payse;pɛiz
payses;pɛiz
paywall;pe.wol
paz;po.za
pazienza;pɑ̃.ka
pazienze;pʁɔ.fe.sɔ.ʁɛs
pazzi;pʁɔ.fe.sɔ.ʁɛs
pazzia;pɔʁt.ba.lɛ
pazzo;pɑ̃.ka
pc;pe.se
pchit;pʃit
pdfisâmes;pe.de.ɛf.i.zam
pdfisât;pe.de.ɛf.i.za
pdfisâtes;pe.de.ɛf.i.zat
pdfisèrent;pe.de.ɛf.i.zɛʁ
pdfisé;pe.de.ɛf.i.ze
pdfisée;pe.de.ɛf.i.ze
pdfisées;pe.de.ɛf.i.ze
pdfisés;pe.de.ɛf.i.ze
pdfisa;pe.de.ɛf.i.za
pdfisai;pe.de.ɛf.i.ze
pdfisaient;pe.de.ɛf.i.zɛ
pdfisais;pe.de.ɛf.i.zɛ
pdfisait;pe.de.ɛf.i.zɛ
pdfisant;pe.de.ɛf.i.zɑ̃
pdfisas;pe.de.ɛf.i.za
pdfisasse;pe.de.ɛf.i.zas
pdfisassent;pe.de.ɛf.i.zas
pdfisasses;pe.de.ɛf.i.zas
pdfisassiez;pe.de.ɛf.i.za.sje
pdfisassions;pe.de.ɛf.i.za.sjɔ̃
pdfise;pe.de.ɛf.iz
pdfisent;pe.de.ɛf.iz
pdfiser;pe.de.ɛ.fi.ze
pdfisera;pe.de.ɛf.i.zə.ʁa
pdfiserai;pe.de.ɛf.i.zə.ʁe
pdfiseraient;pe.de.ɛf.i.zə.ʁɛ
pdfiserais;pe.de.ɛf.i.zə.ʁɛ
pdfiserait;pe.de.ɛf.i.zə.ʁɛ
pdfiseras;pe.de.ɛf.i.zə.ʁa
pdfiserez;pe.de.ɛf.i.zə.ʁe
pdfiseriez;pe.de.ɛf.i.zə.ʁje
pdfiserions;pe.de.ɛf.i.zə.ʁjɔ̃
pdfiserons;pe.de.ɛf.i.zə.ʁɔ̃
pdfiseront;pe.de.ɛf.i.zə.ʁɔ̃
pdfises;pe.de.ɛf.iz
pdfisez;pe.de.ɛf.i.ze
pdfisiez;pe.de.ɛf.i.zje
pdfisions;pe.de.ɛf.i.zjɔ̃
pdfisons;pe.de.ɛf.i.zɔ̃
peça;po.za
peçonha;po.za
peü;fɛ.ʒɔ.a
peülla;pɛ.ʁy.kə.ʁa
pe;pe
peabody;pi.bɔ.di
peacifies;pɔst.fiks
peahens;pa.ʁa.bɔ.la
peal;po
peanut;pi.nɔt
peanuts;pi.nœts
pear;po
peau;po
peauciers;pɔ.sje
peaufinâmes;po.fi.nam
peaufinât;po.fi.na
peaufinâtes;po.fi.nat
peaufinèrent;po.fi.nɛʁ
peaufiné;po.fi.ne
peaufinée;po.fi.ne
peaufinées;po.fi.ne
peaufinés;po.fi.ne
peaufina;po.fi.na
peaufinage;po.fi.naʒ
peaufinages;po.fi.naʒ
peaufinai;po.fi.ne
peaufinaient;po.fi.nɛ
peaufinais;po.fi.nɛ
peaufinait;po.fi.nɛ
peaufinant;po.fi.nɑ̃
peaufinas;po.fi.na
peaufinasse;po.fi.nas
peaufinassent;po.fi.nas
peaufinasses;po.fi.nas
peaufinassiez;po.fi.na.sje
peaufinassions;po.fi.na.sjɔ̃
peaufine;po.fin
peaufinent;po.fin
peaufiner;po.fi.ne
peaufinera;po.fi.nə.ʁa
peaufinerai;po.fi.nə.ʁe
peaufineraient;po.fi.nə.ʁɛ
peaufinerais;po.fi.nə.ʁɛ
peaufinerait;po.fi.nə.ʁɛ
peaufineras;po.fi.nə.ʁa
peaufinerez;po.fi.nə.ʁe
peaufineriez;po.fi.nə.ʁje
peaufinerions;po.fi.nə.ʁjɔ̃
peaufinerons;po.fi.nə.ʁɔ̃
peaufineront;po.fi.nə.ʁɔ̃
peaufines;po.fin
peaufinez;po.fi.ne
peaufiniez;po.fi.nje
peaufinions;po.fi.njɔ̃
peaufinons;po.fi.nɔ̃
peaussâmes;po.sam
peaussât;po.sa
peaussâtes;po.sat
peaussèrent;po.sɛʁ
peaussé;po.se
peaussée;po.se
peaussées;po.se
peaussés;po.se
peaussa;po.sa
peaussai;po.se
peaussaient;po.sɛ
peaussais;po.sɛ
peaussait;po.sɛ
peaussant;po.sɑ̃
peaussas;po.sa
peaussasse;po.sas
peaussassent;po.sas
peaussasses;po.sas
peaussassiez;po.sa.sje
peaussassions;po.sa.sjɔ̃
peausse;pos
peaussent;pos
peausser;po.se
peaussera;po.sə.ʁa
peausserai;po.sə.ʁe
peausseraient;po.sə.ʁɛ
peausserais;po.sə.ʁɛ
peausserait;po.sə.ʁɛ
peausseras;po.sə.ʁa
peausserez;po.sə.ʁe
peausserie;pɔs.ʁi
peausseries;pɔs.ʁi
peausseriez;po.sə.ʁje
peausserions;po.sə.ʁjɔ̃
peausserons;po.sə.ʁɔ̃
peausseront;po.sə.ʁɔ̃
peausses;pos
peaussez;po.se
peaussier;pa.ve
peaussiez;po.sje
peaussions;po.sjɔ̃
peaussons;po.sɔ̃
peautré;po.tʁe
peautrée;po.tʁe
peautrées;po.tʁe
peautrés;po.tʁe
peaux;po
pebble;pin
peber;pa.vi.jɔ̃
peberrod;pa.vi.jɔ̃
pebre;pas.ti.ja
pec;pɛk
peca;fy.mi.ʒɛn
pecado;po.za
pecans;pa.ʁa.bɔ.la
pecar;po.za
pecari;pʁe.i.stɔ.ʁjɛ̃
peccabilité;pa.ty.ʁɔ̃
peccable;pe.kabl
peccables;pe.kabl
peccadille;pe.ka.dij
peccadilles;pe.ka.dij
peccadillos;pɔ.li.ɛs.tɛʁ
peccamineuse;pɛ.ka.mi.nøz
peccamineuses;pɛ.ka.mi.nøz
peccamineux;pe.ka.mi.nø
peccant;pɛ.kɑ̃
peccants;pɛ.kɑ̃
peccary;pʁe.i.stɔ.ʁjɛ̃
peccatophobie;pɛ.ka.tɔ.fɔ.bi
peccatophobies;po.pe.ʁism
peccavi;pɛ.ka.vi
peccavis;po.pe.ʁism
pechinchar;po.za
pecho;pa.ʁa
pechu;pa.ta
pecker;pə.lis
pecnot;pɛk.no
pecnots;pɛk.nɔ
pecora;pɑ̃.ka
pecore;pʁɔ.fe.sɔ.ʁɛs
pecorino;pɔst.dɔk.tɔ.ʁɑ̃t
pecque;pɛk
pecques;po.pe.ʁism
pecs;pɛk
pectate;pɛk.tat
pecteux;pɛk.tø
pectiné;pɛk.ti.ne
pectinée;pɛk.ti.ne
pectinées;pɛk.ti.ne
pectinés;pɛk.ti.ne
pectinator;pek.tin
pectinatus;pek.tin
pectine;pɛk.tin
