Nàcher;ɛ.ɡɥi.jɔ.ɲe
névroseraient;ne.vʁo.zə.ʁɛ
névroserais;ne.vʁo.zə.ʁɛ
névroserait;ne.vʁo.zə.ʁɛ
névroseras;ne.vʁo.zə.ʁa
névroserez;ne.vʁo.zə.ʁe
névroseriez;ne.vʁo.zə.ʁje
névroserions;ne.vʁo.zə.ʁjɔ̃
névroserons;ne.vʁo.zə.ʁɔ̃
névroseront;ne.vʁo.zə.ʁɔ̃
névroses;ne.vʁɔz
névrosez;ne.vʁo.ze
névrosiez;ne.vʁo.zje
névrosions;ne.vʁo.zjɔ̃
névrosique;ne.vʁɔ.zik
névrosiques;ne.vʁɔ.zik
névrosisme;ne.vʁɔ.zism
névrosismes;ne.vʁɔ.zism
névrosons;ne.vʁo.zɔ̃
névrotique;ne.vʁɔ.tik
névrotiquement;ne.vʁɔ.tik.mɑ̃
névrotiques;ne.vʁɔ.tik
névrotisâmes;ne.vʁɔ.ti.zam
névrotisât;ne.vʁɔ.ti.za
névrotisâtes;ne.vʁɔ.ti.zat
névrotisèrent;ne.vʁɔ.ti.zɛʁ
névrotisé;ne.vʁɔ.ti.ze
névrotisée;ne.vʁɔ.ti.ze
névrotisées;ne.vʁɔ.ti.ze
névrotisés;ne.vʁɔ.ti.ze
névrotisa;ne.vʁɔ.ti.za
névrotisai;ne.vʁɔ.ti.ze
névrotisaient;ne.vʁɔ.ti.zɛ
névrotisais;ne.vʁɔ.ti.zɛ
névrotisait;ne.vʁɔ.ti.zɛ
névrotisant;ne.vʁɔ.ti.zɑ̃
névrotisas;ne.vʁɔ.ti.za
névrotisasse;ne.vʁɔ.ti.zas
névrotisassent;ne.vʁɔ.ti.zas
névrotisasses;ne.vʁɔ.ti.zas
névrotisassiez;ne.vʁɔ.ti.za.sje
névrotisassions;ne.vʁɔ.ti.za.sjɔ̃
névrotisation;ne.vʁo.ti.za.sjɔ̃
névrotisations;ne.vʁo.ti.za.sjɔ̃
névrotise;ne.vʁɔ.tiz
névrotisent;ne.vʁɔ.tiz
névrotiser;ne.vʁo.ti.ze
névrotisera;ne.vʁɔ.ti.zə.ʁa
névrotiserai;ne.vʁɔ.ti.zə.ʁe
névrotiseraient;ne.vʁɔ.ti.zə.ʁɛ
névrotiserais;ne.vʁɔ.ti.zə.ʁɛ
névrotiserait;ne.vʁɔ.ti.zə.ʁɛ
névrotiseras;ne.vʁɔ.ti.zə.ʁa
névrotiserez;ne.vʁɔ.ti.zə.ʁe
névrotiseriez;ne.vʁɔ.ti.zə.ʁje
névrotiserions;ne.vʁɔ.ti.zə.ʁjɔ̃
névrotiserons;ne.vʁɔ.ti.zə.ʁɔ̃
névrotiseront;ne.vʁɔ.ti.zə.ʁɔ̃
névrotises;ne.vʁɔ.tiz
névrotisez;ne.vʁɔ.ti.ze
névrotisiez;ne.vʁɔ.ti.zje
névrotisions;ne.vʁɔ.ti.zjɔ̃
névrotisons;ne.vʁɔ.ti.zɔ̃
névrotome;ne.vʁɔ.tɔm
névrotomie;ne.vʁɔ.tɔ.mi
névrotomies;ne.vʁo.tɔ.mi
néyau;ne.jo
néyaux;ne.jo
néyo;ne.jo
néyos;ne.jo
nîmoise;ni.mwaz
nîmoises;ni.mwaz
nô;no
nôs;no
nôtre;notʁ
nôtres;notʁ
nœud;nø
noeud;nø
nœuds;nø
noeuds;nø
n;ɛn
n';n
nB;na.no.bɛl
nGy;na.nɔ.ɡʁe
nV;na.no.vɔlt
naît;nɛ
naîtra;nɛ.tʁa
naîtrai;nɛ.tʁe
naîtraient;nɛ.tʁɛ
naîtrais;nɛ.tʁɛ
naîtrait;nɛ.tʁɛ
naîtras;nɛ.tʁa
naître;nɛtʁ
naîtrez;nɛ.tʁe
naîtriez;nɛ.tʁi.je
naîtrions;nɛ.tʁi.jɔ̃
naîtrons;nɛ.tʁɔ̃
naïadées;na.ja.de
naïade;na.jad
naïades;na.jad
naïas;na.jas
naïf;na.if
naïfs;na.if
naïre;na.iʁ
naïs;nɛ
naïvâmes;na.i.vam
naïvât;na.i.va
naïvâtes;na.i.vat
naïvèrent;na.i.vɛʁ
naïvé;na.i.ve
naïvée;na.i.ve
naïvées;na.i.ve
naïvés;na.i.ve
naïva;na.i.va
naïvai;na.i.ve
naïvaient;na.i.vɛ
naïvais;na.i.vɛ
naïvait;na.i.vɛ
naïvant;na.i.vɑ̃
naïvas;na.i.va
naïvasse;na.i.vas
naïvassent;na.i.vas
naïvasses;na.i.vas
naïvassiez;na.i.va.sje
naïvassions;na.i.va.sjɔ̃
naïve;na.iv
naïvement;na.iv.mɑ̃
naïvent;na.iv
naïver;na.i.ve
naïvera;na.i.və.ʁa
naïverai;na.i.və.ʁe
naïveraient;na.i.və.ʁɛ
naïverais;na.i.və.ʁɛ
naïverait;na.i.və.ʁɛ
naïveras;na.i.və.ʁa
naïverez;na.i.və.ʁe
naïveriez;na.i.və.ʁje
naïverions;na.i.və.ʁjɔ̃
naïverons;na.i.və.ʁɔ̃
naïveront;na.i.və.ʁɔ̃
naïves;na.iv
naïveté;na.iv.te
naïvetés;na.iv.te
naïvez;na.i.ve
naïviez;na.i.vje
naïvions;na.i.vjɔ̃
naïvisâmes;na.i.vi.zam
naïvisât;na.i.vi.za
naïvisâtes;na.i.vi.zat
naïvisèrent;na.i.vi.zɛʁ
naïvisé;na.i.vi.ze
naïvisée;na.i.vi.ze
naïvisées;na.i.vi.ze
naïvisés;na.i.vi.ze
naïvisa;na.i.vi.za
naïvisai;na.i.vi.ze
naïvisaient;na.i.vi.zɛ
naïvisais;na.i.vi.zɛ
naïvisait;na.i.vi.zɛ
naïvisant;na.i.vi.zɑ̃
naïvisas;na.i.vi.za
naïvisasse;na.i.vi.zas
naïvisassent;na.i.vi.zas
naïvisasses;na.i.vi.zas
naïvisassiez;na.i.vi.za.sje
naïvisassions;na.i.vi.za.sjɔ̃
naïvise;na.i.viz
naïvisent;na.i.viz
naïviser;na.i.vi.ze
naïvisera;na.i.vi.zə.ʁa
naïviserai;na.i.vi.zə.ʁe
naïviseraient;na.i.vi.zə.ʁɛ
naïviserais;na.i.vi.zə.ʁɛ
naïviserait;na.i.vi.zə.ʁɛ
naïviseras;na.i.vi.zə.ʁa
naïviserez;na.i.vi.zə.ʁe
naïviseriez;na.i.vi.zə.ʁje
naïviserions;na.i.vi.zə.ʁjɔ̃
naïviserons;na.i.vi.zə.ʁɔ̃
naïviseront;na.i.vi.zə.ʁɔ̃
naïvises;na.i.viz
naïvisez;na.i.vi.ze
naïvisiez;na.i.vi.zje
naïvisions;na.i.vi.zjɔ̃
naïvisons;na.i.vi.zɔ̃
naïvons;na.i.vɔ̃
na;na
naafigi;ɛ̃.tɛʁp.ʁe.ta.sjɔ̃.kɔ̃.se.ky.tiv
naan;nan
naapenhs;ɛ̃.fʁa.mɛ̃s
naassène;na.a.sɛn
naassènes;na.a.sɛn
nabab;na.bab
nababie;na.ba.bi
nababs;na.bab
nabatéen;na.ba.te.ɛ̃
nabatéenne;na.ba.te.ɛn
nabatéennes;na.ba.te.ɛn
nabatéens;na.ba.te.ɛ̃
nabet;na.sjɔ.na.li.ta.ʁism
nabi;na.bi
nabirop;na.bi.ʁɔp
nabla;nab.la
nablatâmes;nab.la.tam
nablatât;nab.la.ta
nablatâtes;nab.la.tat
nablatèrent;nab.la.tɛʁ
nablaté;nab.la.te
nablatée;nab.la.te
nablatées;nab.la.te
nablatés;nab.la.te
nablata;nab.la.ta
nablatai;nab.la.te
nablataient;nab.la.tɛ
nablatais;nab.la.tɛ
nablatait;nab.la.tɛ
nablatant;nab.la.tɑ̃
nablatas;nab.la.ta
nablatasse;nab.la.tas
nablatassent;nab.la.tas
nablatasses;nab.la.tas
nablatassiez;nab.la.ta.sje
nablatassions;nab.la.ta.sjɔ̃
nablate;nab.lat
nablatent;nab.lat
nablater;nab.la.te
nablatera;nab.la.tə.ʁa
nablaterai;nab.la.tə.ʁe
nablateraient;nab.la.tə.ʁɛ
nablaterais;nab.la.tə.ʁɛ
nablaterait;nab.la.tə.ʁɛ
nablateras;nab.la.tə.ʁa
nablaterez;nab.la.tə.ʁe
nablateriez;nab.la.tə.ʁje
nablaterions;nab.la.tə.ʁjɔ̃
nablaterons;nab.la.tə.ʁɔ̃
nablateront;nab.la.tə.ʁɔ̃
nablates;nab.lat
nablatez;nab.la.te
nablatiez;nab.la.tje
nablations;nab.la.tjɔ̃
nablatons;nab.la.tɔ̃
nable;nabl
nables;nabl
nablia;nab.la
naboj;nio.ly
nabojn;nio.ly
nabon;nio.ly
nabot;na.bo
nabote;na.bɔt
nabots;na.bo
nabotte;na.bɔt
nacaire;na.kɛʁ
nacarat;na.ka.ʁa
nacca;nab.la
nacelle;na.sɛl
nacelles;na.sɛl
nache;naʃ
naches;ɛ.njɛm
nacho;nat.ʃo
nachos;na.tʃos
nachtegaal;nɔ̃.ʃa.lɑ̃
naciismoj;nio.ly
naciismojn;nio.ly
naciismon;nio.ly
naciistoj;nio.ly
naciistojn;nio.ly
naciiston;nio.ly
nacioj;nio.ly
naciojn;nio.ly
nacion;nio.ly
nacionalitzar;ne.ɔ.e.ve.me.ʁist
nacouma;na.ku.ma
nacrâmes;nak.ʁam
nacrât;nak.ʁa
nacrâtes;nak.ʁat
nacrèrent;nak.ʁɛʁ
nacré;nak.ʁe
nacrée;nak.ʁe
nacrées;nak.ʁe
nacrés;nak.ʁe
nacra;nak.ʁa
nacrable;nakʁabl
nacrai;nak.ʁe
nacraient;nak.ʁɛ
nacrais;nak.ʁɛ
nacrait;nak.ʁɛ
nacrant;nak.ʁɑ̃
nacras;nak.ʁa
nacrasse;nak.ʁas
nacrassent;nak.ʁas
nacrasses;nak.ʁas
nacrassiez;nak.ʁa.sje
nacrassions;nak.ʁa.sjɔ̃
nacre;nakʁ
nacrent;nakʁ
nacrer;nak.ʁe
nacrera;nak.ʁə.ʁa
nacrerai;nak.ʁə.ʁe
nacreraient;nak.ʁə.ʁɛ
nacrerais;nak.ʁə.ʁɛ
nacrerait;nak.ʁə.ʁɛ
nacreras;nak.ʁə.ʁa
nacrerez;nak.ʁə.ʁe
nacreriez;nak.ʁə.ʁje
nacrerions;nak.ʁə.ʁjɔ̃
nacrerons;nak.ʁə.ʁɔ̃
nacreront;nak.ʁə.ʁɔ̃
nacres;nakʁ
nacrez;nak.ʁe
nacriez;nak.ʁi.je
nacrions;nak.ʁi.jɔ̃
nacrite;nak.ʁit
nacrons;nak.ʁɔ̃
nacta;nab.la
nada;na.da
nadelle;na.dɛl
nadir;na.diʁ
nadiroj;nio.ly
nadirojn;nio.ly
nadiron;nio.ly
nadloj;nio.ly
nadlojn;nio.ly
nadlon;nio.ly
nafé;na.fe
nafés;ɛ.njɛm
nafka;naf.ka
nafkas;naf.ka
nafoloko;nɔ.ta.ʁik
nafreta;ɛ̃.fʁa.pa.ʒi.no
nagèrent;na.ʒɛʁ
nagé;na.ʒe
nagée;na.ʒe
nagées;na.ʒe
nagélien;na.ɡe.ljɛ̃
nagés;na.ʒe
nagari;na.ɡa.ʁi
nageâmes;na.ʒam
nageât;na.ʒa
nageâtes;na.ʒat
nage;naʒ
nagea;na.ʒa
nageai;na.ʒe
nageaient;na.ʒɛ
nageais;na.ʒɛ
nageait;na.ʒɛ
nageant;na.ʒɑ̃
nageante;na.ʒɑ̃t
nageantes;na.ʒɑ̃
nageants;na.ʒɑ̃
nageas;na.ʒa
nageasse;na.ʒas
nageassent;na.ʒas
nageasses;na.ʒas
nageassiez;na.ʒa.sje
nageassions;na.ʒa.sjɔ̃
nagement;naʒ.mɑ̃
nagements;naʒ.mɑ̃
nagent;naʒ
nageoire;na.ʒwaʁ
nageoires;na.ʒwaʁ
nageol;na.ʒɔl
nageolle;na.ʒɔl
nageolles;na.ʒɔl
nageols;na.ʒɔl
nageons;na.ʒɔ̃
nageotâmes;na.ʒɔ.tam
nageotât;na.ʒɔ.ta
nageotâtes;na.ʒɔ.tat
nageotèrent;na.ʒɔ.tɛʁ
nageoté;na.ʒɔ.te
nageota;na.ʒɔ.ta
nageotai;na.ʒɔ.te
nageotaient;na.ʒɔ.tɛ
nageotais;na.ʒɔ.tɛ
nageotait;na.ʒɔ.tɛ
nageotant;na.ʒɔ.tɑ̃
nageotas;na.ʒɔ.ta
nageotasse;na.ʒɔ.tas
nageotassent;na.ʒɔ.tas
nageotasses;na.ʒɔ.tas
nageotassiez;na.ʒɔ.ta.sje
nageotassions;na.ʒɔ.ta.sjɔ̃
nageote;na.ʒɔt
nageotent;na.ʒɔt
nageoter;na.ʒɔ.te
nageotera;na.ʒɔ.tə.ʁa
nageoterai;na.ʒɔ.tə.ʁe
nageoteraient;na.ʒɔ.tə.ʁɛ
nageoterais;na.ʒɔ.tə.ʁɛ
nageoterait;na.ʒɔ.tə.ʁɛ
nageoteras;na.ʒɔ.tə.ʁa
nageoterez;na.ʒɔ.tə.ʁe
nageoteriez;na.ʒɔ.tə.ʁje
nageoterions;na.ʒɔ.tə.ʁjɔ̃
nageoterons;na.ʒɔ.tə.ʁɔ̃
nageoteront;na.ʒɔ.tə.ʁɔ̃
nageotes;na.ʒɔt
nageotez;na.ʒɔ.te
nageotiez;na.ʒɔ.tje
nageotions;na.ʒɔ.tjɔ̃
nageotons;na.ʒɔ.tɔ̃
nageottâmes;na.ʒɔ.tam
nageottât;na.ʒɔ.ta
nageottâtes;na.ʒɔ.tat
nageottèrent;na.ʒɔ.tɛʁ
nageotté;na.ʒɔ.te
nageotta;na.ʒɔ.ta
nageottai;na.ʒɔ.te
nageottaient;na.ʒɔ.tɛ
nageottais;na.ʒɔ.tɛ
nageottait;na.ʒɔ.tɛ
nageottant;na.ʒɔ.tɑ̃
nageottas;na.ʒɔ.ta
nageottasse;na.ʒɔ.tas
nageottassent;na.ʒɔ.tas
nageottasses;na.ʒɔ.tas
nageottassiez;na.ʒɔ.ta.sje
nageottassions;na.ʒɔ.ta.sjɔ̃
nageotte;na.ʒɔt
nageottent;na.ʒɔt
nageotter;na.ʒɔ.te
nageottera;na.ʒɔ.tə.ʁa
nageotterai;na.ʒɔ.tə.ʁe
nageotteraient;na.ʒɔ.tə.ʁɛ
nageotterais;na.ʒɔ.tə.ʁɛ
nageotterait;na.ʒɔ.tə.ʁɛ
nageotteras;na.ʒɔ.tə.ʁa
nageotterez;na.ʒɔ.tə.ʁe
nageotteriez;na.ʒɔ.tə.ʁje
nageotterions;na.ʒɔ.tə.ʁjɔ̃
nageotterons;na.ʒɔ.tə.ʁɔ̃
nageotteront;na.ʒɔ.tə.ʁɔ̃
nageottes;na.ʒɔt
nageottez;na.ʒɔ.te
nageottiez;na.ʒɔ.tje
nageottions;na.ʒɔ.tjɔ̃
nageottons;na.ʒɔ.tɔ̃
nager;na.ʒe
nagera;na.ʒə.ʁa
nagerai;na.ʒə.ʁe
nageraient;na.ʒə.ʁɛ
nagerais;na.ʒə.ʁɛ
nagerait;na.ʒə.ʁɛ
nageras;na.ʒə.ʁa
nageret;naʒ.ʁɛ
nagerez;na.ʒə.ʁe
nageriez;na.ʒə.ʁje
nagerions;na.ʒə.ʁjɔ̃
nagerons;na.ʒə.ʁɔ̃
nageront;na.ʒə.ʁɔ̃
nages;naʒ
nageur;na.ʒœʁ
nageurs;na.ʒœʁ
nageuse;na.ʒøz
nageuses;na.ʒøz
nagez;na.ʒe
naggers;ni.tʁi.fi.ka.sjɔ̃
nagidzemoth;ni.val
nagiez;na.ʒje
nagions;na.ʒjɔ̃
nagor;na.ɡɔʁ
nagors;ɛ.njɛm
naguère;na.ɡɛʁ
naguères;na.ɡɛʁ
nagualisme;na.ɡwa.lism
nagyagite;na.ʒja.ʒit
nahualisme;na.ɥa.lism
nahualismes;na.ɥa.lism
nahuatl;na.ɥatl
nahuatlisation;na.ɥa.tli.za.sjɔ̃
nahuatlisations;na.ɥa.tli.za.sjɔ̃
nahuatlité;na.ɥa.tli.te
nahuatlités;na.ɥa.tli.te
nahuatlophone;na.ɥat.lɔ.fɔn
nahuatlophones;na.ɥat.lɔ.fɔn
naias;na.jas
naie;nɛ
naient;nɛ
naiera;nɛ.ʁa
naierai;nɛ.ʁe
naieraient;nɛ.ʁɛ
naierais;nɛ.ʁɛ
naierait;nɛ.ʁɛ
naieras;nɛ.ʁa
naierez;nɛ.ʁe
naieriez;nɛ.ʁje
naierions;nɛ.ʁjɔ̃
naierons;nɛ.ʁɔ̃
naieront;nɛ.ʁɔ̃
naies;nɛ
nailguns;njaf
naillâmes;na.jam
naillât;na.ja
naillâtes;na.jat
naillèrent;na.jɛʁ
naillé;na.je
naillée;na.je
naillées;na.je
naillés;na.je
nailla;na.ja
naillai;na.je
naillaient;na.jɛ
naillais;na.jɛ
naillait;na.jɛ
naillant;na.jɑ̃
naillas;na.ja
naillasse;na.jas
naillassent;na.jas
naillasses;na.jas
naillassiez;na.ja.sje
naillassions;na.ja.sjɔ̃
naille;naj
naillent;naj
nailler;na.je
naillera;na.jə.ʁa
naillerai;na.jə.ʁe
nailleraient;na.jə.ʁɛ
naillerais;na.jə.ʁɛ
naillerait;na.jə.ʁɛ
nailleras;na.jə.ʁa
naillerez;na.jə.ʁe
nailleriez;na.jə.ʁje
naillerions;na.jə.ʁjɔ̃
naillerons;na.jə.ʁɔ̃
nailleront;na.jə.ʁɔ̃
nailles;naj
naillez;na.je
nailliez;na.je
naillions;na.jɔ̃
naillons;na.jɔ̃
nain;nɛ̃
naine;nɛn
naines;nɛn
nains;nɛ̃
nair;ne.o.na.ti.sid
naireuse;ne.ʁøz
naireuses;ne.ʁøz
naireux;ne.ʁø
naisâmes;nɛ.zam
naisât;nɛ.za
naisâtes;nɛ.zat
naisèrent;nɛ.zɛʁ
naisé;nɛ.ze
naisée;nɛ.ze
naisées;nɛ.ze
naisés;nɛ.ze
nais;nɛ
naisa;nɛ.za
naisai;nɛ.ze
naisaient;nɛ.zɛ
naisais;nɛ.zɛ
naisait;nɛ.zɛ
naisant;nɛ.zɑ̃
naisas;nɛ.za
naisasse;nɛ.zas
naisassent;nɛ.zas
naisasses;nɛ.zas
naisassiez;nɛ.za.sje
naisassions;nɛ.za.sjɔ̃
naise;nɛz
naisent;nɛz
naiser;nɛ.ze
naisera;nɛ.zə.ʁa
naiserai;nɛ.zə.ʁe
naiseraient;nɛ.zə.ʁɛ
naiserais;nɛ.zə.ʁɛ
naiserait;nɛ.zə.ʁɛ
naiseras;nɛ.zə.ʁa
naiserez;nɛ.zə.ʁe
naiseriez;nɛ.zə.ʁje
naiserions;nɛ.zə.ʁjɔ̃
naiserons;nɛ.zə.ʁɔ̃
naiseront;nɛ.zə.ʁɔ̃
naises;nɛz
naisez;nɛ.ze
naisiez;nɛ.zje
naisions;nɛ.zjɔ̃
naisons;nɛ.zɔ̃
naissage;nɛ.saʒ
naissages;nɛ.saʒ
naissaient;nɛ.sɛ
naissain;nɛ.sɛ̃
naissais;nɛ.sɛ
naissait;nɛ.sɛ
naissance;nɛ.sɑ̃s
naissances;nɛ.sɑ̃s
naissant;nɛ.sɑ̃
naissante;nɛ.sɑ̃t
naissantes;nɛ.sɑ̃t
naissants;nɛ.sɑ̃
naisse;nɛs
naissedor;ɛ̃.fʁa.pa.ʒi.no
naissent;nɛs
naisses;nɛs
naissez;nɛ.se
naissiez;nɛ.sje
naissions;nɛ.sjɔ̃
naissons;nɛ.sɔ̃
nait;nɛ
naitra;nɛ.tʁa
naitrai;nɛ.tʁe
naitraient;nɛ.tʁɛ
naitrais;nɛ.tʁɛ
naitrait;nɛ.tʁɛ
naitras;nɛ.tʁa
naitre;nɛtʁ
naitrez;nɛ.tʁe
naitriez;nɛ.tʁi.je
naitrions;nɛ.tʁi.jɔ̃
naitrons;nɛ.tʁɔ̃
naitront;nɛ.tʁɔ̃
naiya;ɛ.me
naja;na.ʒa
najas;na.ʒa
najbarinoj;nio.ly
najbarinojn;nio.ly
najbarinon;nio.ly
najbaroj;nio.ly
najbarojn;nio.ly
najbaron;nio.ly
najloj;nio.ly
najlojn;nio.ly
najlon;nio.ly
najtingaloj;nio.ly
najtingalojn;nio.ly
najtingalon;nio.ly
nak;nak
naka;nak
nakba;nak.ba
nakomelingschap;nɔ̃.ʃa.lɑ̃
naks;nak
nalatigheid;nɔ̃.ʃa.lɑ̃
nalliuniqsiutsiarit;nɔk.tɥɛl
naloomini;ɛʁ.pɔ.lɔ.di
namaqualites;na.ma.ka.lit
nambikwara;nɑ̃.bi.kwa.ʁa
nameless;nap.kin
namesaked;ɛ̃.tɛʁ.ɔ.pɛ.ʁə.ʁɛ
namibiana;na.mi.bjɛn
namibiane;na.mi.bjɛn
namibiani;na.mi.bjɛn
namibianinoj;nio.ly
namibianinojn;nio.ly
namibianinon;nio.ly
namibianoj;nio.ly
namibianojn;nio.ly
namibianon;nio.ly
namibien;na.mi.bjɛ̃
namibienne;na.mi.bjɛn
namibiennes;na.mi.bjɛn
namibiens;na.mi.bjɛ̃
namorar;na.da
namurois;na.my.ʁwa
namuroises;na.my.ʁwaz
nan;nɑ̃
nana;na.na
nananère;na.na.nɛʁ
nanan;na.nɑ̃
nanar;na.naʁ
nanard;na.naʁ
nanardesque;na.naʁ.dɛsk
nanardesques;na.naʁ.dɛsk
nanards;na.naʁ
nanars;na.naʁ
nanas;na.na
nancéate;nɑ̃.se.at
nancéien;nɑ̃.se.jɛ̃
nancéienne;nɑ̃.se.jɛn
nancéiennes;nɑ̃.se.jɛn
nancéiens;nɑ̃.se.jɛ̃n
nancéique;nɑ̃.se.ik
nancelle;nɑ̃.sɛl
nande;nɑ̃d
nandes;nɑ̃d
nandhirobées;nɑ̃.di.ʁɔ.be
nandi;nan.di
nandou;nɑ̃.du
nangaille;nɑ̃.ɡaj
nangailles;nɑ̃.ɡaj
nanguer;nɑ̃.ɡɛʁ
nani;ɛ.lɛn
nanifiâmes;na.ni.fjam
nanifiât;na.ni.fja
nanifiâtes;na.ni.fjat
nanifièrent;na.ni.fjɛʁ
nanifié;na.ni.fje
nanifiée;na.ni.fje
nanifiées;na.ni.fje
nanifiés;na.ni.fje
nanifia;na.ni.fja
nanifiai;na.ni.fje
nanifiaient;na.ni.fjɛ
nanifiais;na.ni.fjɛ
nanifiait;na.ni.fjɛ
nanifiant;na.ni.fjɑ̃
nanifias;na.ni.fja
nanifiasse;na.ni.fjas
nanifiassent;na.ni.fjas
nanifiasses;na.ni.fjas
nanifiassiez;na.ni.fja.sje
nanifiassions;na.ni.fja.sjɔ̃
nanifie;na.ni.fi
nanifient;na.ni.fi
nanifier;na.ni.fje
nanifiera;na.ni.fi.ʁa
nanifierai;na.ni.fi.ʁe
nanifieraient;na.ni.fi.ʁɛ
nanifierais;na.ni.fi.ʁɛ
nanifierait;na.ni.fi.ʁɛ
nanifieras;na.ni.fi.ʁa
nanifierez;na.ni.fi.ʁe
nanifieriez;na.ni.fi.ʁje
nanifierions;na.ni.fi.ʁjɔ̃
nanifierons;na.ni.fi.ʁɔ̃
nanifieront;na.ni.fi.ʁɔ̃
nanifies;na.ni.fi
nanifiez;na.ni.fje
nanifiiez;na.ni.fi.je
nanifiions;na.ni.fi.jɔ̃
nanifions;na.ni.fjɔ̃
nanipabulophiliste;na.ny.pa.by.lo.fi.list
nanisâmes;na.ni.zam
nanisât;na.ni.za
nanisâtes;na.ni.zat
nanisèrent;na.ni.zɛʁ
nanisé;na.ni.ze
nanisée;na.ni.ze
nanisées;na.ni.ze
nanisés;na.ni.ze
nanisa;na.ni.za
nanisai;na.ni.ze
nanisaient;na.ni.zɛ
nanisais;na.ni.zɛ
nanisait;na.ni.zɛ
nanisant;na.ni.zɑ̃
nanisas;na.ni.za
nanisasse;na.ni.zas
nanisassent;na.ni.zas
nanisasses;na.ni.zas
nanisassiez;na.ni.za.sje
nanisassions;na.ni.za.sjɔ̃
nanise;na.niz
nanisent;na.niz
naniser;na.ni.ze
nanisera;na.ni.zə.ʁa
naniserai;na.ni.zə.ʁe
naniseraient;na.ni.zə.ʁɛ
naniserais;na.ni.zə.ʁɛ
naniserait;na.ni.zə.ʁɛ
naniseras;na.ni.zə.ʁa
naniserez;na.ni.zə.ʁe
naniseriez;na.ni.zə.ʁje
naniserions;na.ni.zə.ʁjɔ̃
naniserons;na.ni.zə.ʁɔ̃
naniseront;na.ni.zə.ʁɔ̃
nanises;na.niz
nanisez;na.ni.ze
nanisiez;na.ni.zje
nanisions;na.ni.zjɔ̃
nanisme;na.nism
nanisons;na.ni.zɔ̃
nankin;nɑ̃.kɛ̃
nanoélectrode;na.nɔ.e.lɛk.tʁɔd
nanoélectronvolt;na.no.e.lɛk.tʁɔ̃.vɔlt
nanoéponge;na.no.e.pɔ̃ʒ
nanoéponges;na.no.e.pɔ̃ʒ
nanoaimant;na.nɔ.ɛ.mɑ̃
nanoaimants;na.nɔ.ɛ.mɑ̃
nanoampère;na.no.ɑ̃.pɛʁ
nanoampères;na.no.ɑ̃.pɛʁ
nanoamperoj;nio.ly
nanoamperojn;nio.ly
nanoamperon;nio.ly
nanobecquerel;na.nɔ.bɛk.ʁɛl
nanobecquerels;na.nɔ.bɛk.ʁɛl
nanobel;na.no.bɛl
nanobels;na.no.bɛl
nanocéphale;na.no.se.fal
nanocéphalie;na.no.se.fa.li
nanocéphalique;na.no.se.fa.lik
nanocanal;na.nɔ.ka.nal
nanocanaux;na.nɔ.ka.no
nanocandéla;na.no.kɑ̃.de.la
nanocandélas;na.no.kɑ̃.de.la
nanocandela;na.no.kɑ̃.de.la
nanocandelas;na.no.kɑ̃.de.la
nanocircuits;na.nɔ.siʁ.kɥi
nanocomposites;ɛ̃.tʁɔ̃
nanocoulomb;na.nɔ.ku.lɔ̃
nanocoulombs;na.nɔ.ku.lɔ̃
nanodegré;na.no.də.ɡʁe
nanodiamant;na.nɔ.dja.mɑ̃
nanodiamants;na.nɔ.dja.mɑ̃
nanodisque;na.nɔ.disk
nanodisques;na.nɔ.disk
nanofarad;na.no.fa.ʁad
nanofarads;na.no.fa.ʁad
nanofilament;na.nɔ.fi.la.mɑ̃
nanofilaments;na.nɔ.fi.la.mɑ̃
nanogramme;na.nɔ.ɡʁam
nanogrammes;na.nɔ.ɡʁam
nanogramoj;nio.ly
nanogramojn;nio.ly
nanogramon;nio.ly
nanogray;na.nɔ.ɡʁe
nanograys;na.nɔ.ɡʁe
nanohenry;na.nɔ.ɑ̃.ʁi
nanohenrys;na.nɔ.ɑ̃.ʁi
nanohercoj;nio.ly
nanohercojn;nio.ly
nanohercon;nio.ly
nanohertz;na.nɔ.ɛʁts
nanoj;nio.ly
nanojn;nio.ly
nanojoule;na.nɔ.ʒul
nanojoules;na.nɔ.ʒul
nanokatal;na.nɔ.ka.tal
nanokatals;na.nɔ.ka.tal
nanokelvin;na.nɔ.kɛl.vɛ̃
nanokelvins;na.nɔ.kɛl.vɛ̃
nanokernels;nɛ.saʒ
nanokulomboj;nio.ly
nanokulombojn;nio.ly
nanokulombon;nio.ly
nanolaser;na.no.la.zɛʁ
nanolasers;na.no.la.zɛʁ
nanolitre;na.nɔ.litʁ
nanolitroj;nio.ly
nanolitrojn;nio.ly
nanolitron;nio.ly
nanolumen;na.nɔ.ly.mɛn
nanolumens;na.nɔ.ly.mɛn
nanolux;na.nɔ.lyks
nanomètre;na.nɔ.mɛtʁ
nanomètres;na.nɔ.mɛtʁ
nanomécanisme;na.nɔ.me.ka.nism
nanomécanismes;na.nɔ.me.ka.nism
nanométrique;na.no.me.tʁik
nanométriques;na.no.me.tʁik
nanomachine;na.nɔ.ma.ʃin
nanomachines;na.nɔ.ma.ʃin
nanomaterials;ɛ̃.va.ʒi.na.sjɔ̃
nanometroj;nø.ʁɔ.psi.kɔ.faʁ.ma.kɔ.lɔ.ʒi
