Wabanaki;wa.ba.na.ki
webcames;wɛb.kam
webcamez;wɛb.ka.me
webcamiez;wɛb.ka.mje
webcamions;wɛb.ka.mjɔ̃
webcamons;wɛb.ka.mɔ̃
webcampagne;wɛb.kɑ̃.paɲ
webcams;wɛb.kam
webcastâmes;wɛb.kas.tam
webcastât;wɛb.kas.ta
webcastâtes;wɛb.kas.tat
webcastèrent;wɛb.kas.tɛʁ
webcasté;wɛb.kas.te
webcastée;wɛb.kas.te
webcastées;wɛb.kas.te
webcastés;wɛb.kas.te
webcasta;wɛb.kas.ta
webcastai;wɛb.kas.te
webcastaient;wɛb.kas.tɛ
webcastais;wɛb.kas.tɛ
webcastait;wɛb.kas.tɛ
webcastant;wɛb.kas.tɑ̃
webcastas;wɛb.kas.ta
webcastasse;wɛb.kas.tas
webcastassent;wɛb.kas.tas
webcastasses;wɛb.kas.tas
webcastassiez;wɛb.kas.ta.sje
webcastassions;wɛb.kas.ta.sjɔ̃
webcaste;wɛb.kast
webcastent;wɛb.kast
webcastera;wɛb.kas.tə.ʁa
webcasterai;wɛb.kas.tə.ʁe
webcasteraient;wɛb.kas.tə.ʁɛ
webcasterais;wɛb.kas.tə.ʁɛ
webcasterait;wɛb.kas.tə.ʁɛ
webcasteras;wɛb.kas.tə.ʁa
webcasterez;wɛb.kas.tə.ʁe
webcasteriez;wɛb.kas.tə.ʁje
webcasterions;wɛb.kas.tə.ʁjɔ̃
webcasterons;wɛb.kas.tə.ʁɔ̃
webcasteront;wɛb.kas.tə.ʁɔ̃
webcastes;wɛb.kast
webcastez;wɛb.kas.te
webcastiez;wɛb.kas.tje
webcastions;wɛb.kas.tjɔ̃
webcastons;wɛb.kas.tɔ̃
webconférence;wɛb.kɔ̃.fe.ʁɑ̃s
webconférences;wɛb.kɔ̃.fe.ʁɑ̃s
webdiffusâmes;wɛb.di.fy.zam
webdiffusât;wɛb.di.fy.za
webdiffusâtes;wɛb.di.fy.zat
webdiffusèrent;wɛb.di.fy.zɛʁ
webdiffusé;wɛb.di.fy.ze
webdiffusée;wɛb.di.fy.ze
webdiffusées;wɛb.di.fy.ze
webdiffusés;wɛb.di.fy.ze
webdiffusa;wɛb.di.fy.za
webdiffusai;wɛb.di.fy.ze
webdiffusaient;wɛb.di.fy.zɛ
webdiffusais;wɛb.di.fy.zɛ
webdiffusait;wɛb.di.fy.zɛ
webdiffusant;wɛb.di.fy.zɑ̃
webdiffusas;wɛb.di.fy.za
webdiffusasse;wɛb.di.fy.zas
webdiffusassent;wɛb.di.fy.zas
webdiffusasses;wɛb.di.fy.zas
webdiffusassiez;wɛb.di.fy.za.sje
webdiffusassions;wɛb.di.fy.za.sjɔ̃
webdiffuse;wɛb.di.fyz
webdiffusent;wɛb.di.fyz
webdiffuser;wɛb.di.fy.ze
webdiffusera;wɛb.di.fy.zə.ʁa
webdiffuserai;wɛb.di.fy.zə.ʁe
webdiffuseraient;wɛb.di.fy.zə.ʁɛ
webdiffuserais;wɛb.di.fy.zə.ʁɛ
webdiffuserait;wɛb.di.fy.zə.ʁɛ
webdiffuseras;wɛb.di.fy.zə.ʁa
webdiffuserez;wɛb.di.fy.zə.ʁe
webdiffuseriez;wɛb.di.fy.zə.ʁje
webdiffuserions;wɛb.di.fy.zə.ʁjɔ̃
webdiffuserons;wɛb.di.fy.zə.ʁɔ̃
webdiffuseront;wɛb.di.fy.zə.ʁɔ̃
webdiffuses;wɛb.di.fyz
webdiffusez;wɛb.di.fy.ze
webdiffusiez;wɛb.di.fy.zje
webdiffusions;wɛb.di.fy.zjɔ̃
webdiffusons;wɛb.di.fy.zɔ̃
webdocu;wɛb.dɔ.ky
webdocumentaire;wɛb.dɔ.ky.mɑ̃.tɛʁ
weber;ve.bɛʁ
webers;we.bɛʁ
webinaire;wɛb.i.nɛʁ
webinaires;wɛb.i.nɛʁ
webisâmes;wɛb.i.zam
webisât;wɛb.i.za
webisâtes;wɛb.i.zat
webisèrent;wɛb.i.zɛʁ
webisé;wɛb.i.ze
webisée;wɛb.i.ze
webisées;wɛb.i.ze
webisés;wɛb.i.ze
webisa;wɛb.i.za
webisai;wɛb.i.ze
webisaient;wɛb.i.zɛ
webisais;wɛb.i.zɛ
webisait;wɛb.i.zɛ
webisant;wɛb.i.zɑ̃
webisas;wɛb.i.za
webisasse;wɛb.i.zas
webisassent;wɛb.i.zas
webisasses;wɛb.i.zas
webisassiez;wɛb.i.za.sje
webisassions;wɛb.i.za.sjɔ̃
webise;wɛb.iz
webisent;wɛb.iz
webiser;wɛ.bi.ze
webisera;wɛb.i.zə.ʁa
webiserai;wɛb.i.zə.ʁe
webiseraient;wɛb.i.zə.ʁɛ
webiserais;wɛb.i.zə.ʁɛ
webiserait;wɛb.i.zə.ʁɛ
webiseras;wɛb.i.zə.ʁa
webiserez;wɛb.i.zə.ʁe
webiseriez;wɛb.i.zə.ʁje
webiserions;wɛb.i.zə.ʁjɔ̃
webiserons;wɛb.i.zə.ʁɔ̃
webiseront;wɛb.i.zə.ʁɔ̃
webises;wɛb.iz
webisez;wɛb.i.ze
webisiez;wɛb.i.zje
webisions;wɛb.i.zjɔ̃
webisode;wɛ.bi.zɔd
webisons;wɛb.i.zɔ̃
webjournaliste;wɛb.ʒuʁ.na.list
webkamera;dʁɔʃ.ki
weblogs;wi.dʒɛt
weblogue;wɛb.lɔɡ
webmagazine;wɛb.ma.ɡa.zin
webmagazines;wɛb.ma.ɡa.zin
webmags;vi.ka.ʁjɑ̃s
webmail;wɛb.mɛl
webmails;wɛb.mɛl
webmaster;wɛb.mas.tœʁ
webmestre;wɛb.mɛstʁ
webo;vi.za
webradio;wɛb.ʁa.djo
webradios;wɛb.ʁa.djo
webroots;dʁink
websérie;wɛb.se.ʁi
webséries;wɛb.se.ʁi
websurfers;dip.ʁo.to.dɔ̃
webzines;wɛb.zin
weccat;wɔn
weccet;wɔn
wech;wɛʃ
wedelin;wɛ.də.lɛ̃
wedstrijd;va.de
weedy;wi.kɛnd
weekdier;dwa.la
weekend;wi.kɛnd
weekends;wi.kɛnd
weekes;dʁink
weeklies;vɔ.lɔ̃.tɛʁ
weeks;de.sɛʁk.le
ween;wɔn
weenhayek;wen.a.jek
weer;vɛʁ
weerbericht;vɛʁ
weerwolfsziekte;vo.le.mi
weerwoord;vo.le.mi
wees;wat
weet;wat
weex;wɔn
wef;dja.ʁist
weg;va.de
wega;vi.za
weganizm;de.mɔ̃
weggeven;wiɡ.wam
wegnemen;vjɛʁ
weimarienne;wɛ.ma.ʁjɛn
wela;vi.za
weldo;vɛʁ.so
welga;vi.za
welkom;wi.kɛnd
welo;wɔn
welp;di.ɡʁaf
welsh;wɛlʃ
welters;wɛl.tɛʁ
welvaart;vɛʁ
welzijn;vɛʁ
wen;wɛn
wendat;wɛn.dat
wendate;wɛn.dat
wendates;wɛn.dat
wendats;wɛn.dat
wepper;dis.kɔ.fil
werben;dʁɔp
werden;de.ʃi.ʁyʁ
weregelds;wi.ʒa
weregilds;dʁink
wereldmacht;wi.kɛnd
wereldmogendheid;wi.kɛnd
werk;wi.kɛnd
werkdag;wi.kɛnd
werkingsschema;wiʁ.diʁ
werkingssfeer;wiʁ.diʁ
werkloosheid;wi.kɛnd
werkneemster;wi.kɛnd
werknemer;wi.kɛnd
werkomgeving;wi.kɛnd
werkplek;wi.kɛnd
werktuigmachientje;vɑ̃.pi.ʁe
werktuigmachientjes;vɑ̃.pi.ʁe
werktuigmachinetje;vɑ̃.pi.ʁe
werktuigmachinetjes;vɑ̃.pi.ʁe
werkvoorbereider;wi.kɛnd
werkvoorbereidster;wi.kɛnd
werkwoord;wɛn
wernérite;vəʁ.ne.ʁit
wert;wɔn
wesh;wɛʃ
wesleyen;wɛs.lɛ.jɛ̃
wesleyenne;wɛs.lɛ.jɛn
wesleyennes;wɛs.lɛ.jɛn
wesleyens;wɛs.lɛ.jɛ̃
weso;vi.za
western;wɛs.tɛʁn
westerns;wɛs.tɛʁn
westie;wɛs.ti
westo;vɛʁ.so
westphalien;vɛst.fa.ljɛ̃
westphalienne;vɛst.fa.ljɛn
westphaliennes;vɛs.tfa.ljɛn
westphaliens;vɛst.fa.ljɛ̃
wet;wɛt
weta;vi.za
weten;dja.lɛk.tik
weter;vi.za
wets;wɛt
wetterli;vɛ.tɛʁ.li
weza;dɛʁ.ma.tɔ.lɔ.ʒi
wgeter;dɔ.bəl.ju.ɡɛ.te
whae;de.za.dɔp.te
wharf;waʁf
whatmille;wat.mil
whatshisfaces;vi.ka.ʁjɑ̃s
wheezers;dʁink
whelping;dep.ʁi.ve
whig;wiɡ
whiggisme;wi.ɡism
whigs;wiɡ
whipcord;wip.kɔʁd
whipcords;wip.kɔʁd
whippers;de.mɔ̃
whippet;wi.pɛ
whiskey;wis.ki
whiskies;wis.ki
whisky;wis.ki
whiskyglas;dɔk.tajp
whiskys;wis.ki
whisperings;va.lɑ̃s
whistâmes;wis.tam
whistât;wis.ta
whistâtes;wis.tat
whistèrent;wis.tɛʁ
whisté;wis.te
whist;wist
whista;wis.ta
whistai;wis.te
whistaient;wis.tɛ
whistais;wis.tɛ
whistait;wis.tɛ
whistant;wis.tɑ̃
whistas;wis.ta
whistasse;wis.tas
whistassent;wis.tas
whistasses;wis.tas
whistassiez;wis.ta.sje
whistassions;wis.ta.sjɔ̃
whiste;wist
whistent;wist
whister;wis.te
whistera;wis.tə.ʁa
whisterai;wis.tə.ʁe
whisteraient;wis.tə.ʁɛ
whisterais;wis.tə.ʁɛ
whisterait;wis.tə.ʁɛ
whisteras;wis.tə.ʁa
whisterez;wis.tə.ʁe
whisteriez;wis.tə.ʁje
whisterions;wis.tə.ʁjɔ̃
whisterons;wis.tə.ʁɔ̃
whisteront;wis.tə.ʁɔ̃
whistes;wist
whistez;wis.te
whistiez;wis.tje
whistions;wis.tjɔ̃
whistons;wis.tɔ̃
whitérite;wi.te.ʁit
whitecaps;wip.kɔʁd
whitelistâmes;wajt.lis.tam
whitelistât;wajt.lis.ta
whitelistâtes;wajt.lis.tat
whitelistèrent;wajt.lis.tɛʁ
whitelisté;wajt.lis.te
whitelistée;wajt.lis.te
whitelistées;wajt.lis.te
whitelistés;wajt.lis.te
whitelist;wajt.list
whitelista;wajt.lis.ta
whitelistage;wajt.lis.taʒ
whitelistai;wajt.lis.te
whitelistaient;wajt.lis.tɛ
whitelistais;wajt.lis.tɛ
whitelistait;wajt.lis.tɛ
whitelistant;wajt.lis.tɑ̃
whitelistas;wajt.lis.ta
whitelistasse;wajt.lis.tas
whitelistassent;wajt.lis.tas
whitelistasses;wajt.lis.tas
whitelistassiez;wajt.lis.ta.sje
whitelistassions;wajt.lis.ta.sjɔ̃
whiteliste;wajt.list
whitelistent;wajt.list
whitelister;wajt.lis.te
whitelistera;wajt.lis.tə.ʁa
whitelisterai;wajt.lis.tə.ʁe
whitelisteraient;wajt.lis.tə.ʁɛ
whitelisterais;wajt.lis.tə.ʁɛ
whitelisterait;wajt.lis.tə.ʁɛ
whitelisteras;wajt.lis.tə.ʁa
whitelisterez;wajt.lis.tə.ʁe
whitelisteriez;wajt.lis.tə.ʁje
whitelisterions;wajt.lis.tə.ʁjɔ̃
whitelisterons;wajt.lis.tə.ʁɔ̃
whitelisteront;wajt.lis.tə.ʁɔ̃
whitelistes;wajt.list
whitelistez;wajt.lis.te
whitelistiez;wajt.lis.tje
whitelistions;wajt.lis.tjɔ̃
whitelistons;wajt.lis.tɔ̃
whiteners;wip.kɔʁd
whitenesses;dɑ̃.si.fi.ka.sjɔ̃
whiteouts;wip.kɔʁd
whitewalls;wip.kɔʁd
whitewashes;wa.tɛʁp.ʁuf
whizzinator;wi.zi.na.tɔʁ
whizzinators;wi.zi.na.tɔʁ
whodunits;wip.kɔʁd
whoomps;dɥa.liz
whooshing;dɔ.pɑ̃t
whor;da.y
whorls;dɔk.tœʁ
wiadro;de.zo.bej.søz
wiatr;vɛ̃t.sɛ̃k
wiche;wiʃ
wichi;wi.ʃi
wicked;wik.sjɔ.nɛʁ
wickets;wi.dʒɛt
wicléfisme;wik.le.fism
wicléfiste;wik.le.fist
widespread;ve.to
widget;wi.dʒɛt
widgets;wi.dʒɛt
widocznym;dɔk.tɔ.ʁɑ̃t
widths;wi.ki
wiel;wɛt
wierny;vɛ̃t.sɛ̃k
wifes;de.mɔ̃
wifi;wi.fi
wifina;wi.fi
wifisâmes;wi.fi.zam
wifisât;wi.fi.za
wifisâtes;wi.fi.zat
wifisèrent;wi.fi.zɛʁ
wifisé;wi.fi.ze
wifisée;wi.fi.ze
wifisées;wi.fi.ze
wifisés;wi.fi.ze
wifis;wi.fi
wifisa;wi.fi.za
wifisai;wi.fi.ze
wifisaient;wi.fi.zɛ
wifisais;wi.fi.zɛ
wifisait;wi.fi.zɛ
wifisant;wi.fi.zɑ̃
wifisas;wi.fi.za
wifisasse;wi.fi.zas
wifisassent;wi.fi.zas
wifisasses;wi.fi.zas
wifisassiez;wi.fi.za.sje
wifisassions;wi.fi.za.sjɔ̃
wifise;wi.fiz
wifisent;wi.fiz
wifiser;wi.fi.ze
wifisera;wi.fi.zə.ʁa
wifiserai;wi.fi.zə.ʁe
wifiseraient;wi.fi.zə.ʁɛ
wifiserais;wi.fi.zə.ʁɛ
wifiserait;wi.fi.zə.ʁɛ
wifiseras;wi.fi.zə.ʁa
wifiserez;wi.fi.zə.ʁe
wifiseriez;wi.fi.zə.ʁje
wifiserions;wi.fi.zə.ʁjɔ̃
wifiserons;wi.fi.zə.ʁɔ̃
wifiseront;wi.fi.zə.ʁɔ̃
wifises;wi.fiz
wifisez;wi.fi.ze
wifisiez;wi.fi.zje
wifisions;wi.fi.zjɔ̃
wifisons;wi.fi.zɔ̃
wigwam;wiɡ.wam
wigwams;wi.ɡwam
wijk;wi.kɛnd
wijsvinger;va.de
wijze;wi.kɛnd
wiki;wi.ki
wikibreak;wi.ki.bʁɛk
wikicode;wi.ki.kɔd
wikicodes;wi.ki.kɔd
wikif;wi.kif
wikifiâmes;wi.ki.fjam
wikifiât;wi.ki.fja
wikifiâtes;wi.ki.fjat
wikifièrent;wi.ki.fjɛʁ
wikifié;wi.ki.fje
wikifiée;wi.ki.fje
wikifiées;wi.ki.fje
wikifiés;wi.ki.fje
wikifia;wi.ki.fja
wikifiai;wi.ki.fje
wikifiaient;wi.ki.fjɛ
wikifiais;wi.ki.fjɛ
wikifiait;wi.ki.fjɛ
wikifiant;wi.ki.fjɑ̃
wikifias;wi.ki.fja
wikifiasse;wi.ki.fjas
wikifiassent;wi.ki.fjas
wikifiasses;wi.ki.fjas
wikifiassiez;wi.ki.fja.sje
wikifiassions;wi.ki.fja.sjɔ̃
wikification;wi.ki.fi.ka.sjɔ̃
wikifications;wi.ki.fi.ka.sjɔ̃
wikifie;wi.ki.fi
wikifient;wi.ki.fi
wikifier;wi.ki.fje
wikifiera;wi.ki.fi.ʁa
wikifierai;wi.ki.fi.ʁe
wikifieraient;wi.ki.fi.ʁɛ
wikifierais;wi.ki.fi.ʁɛ
wikifierait;wi.ki.fi.ʁɛ
wikifieras;wi.ki.fi.ʁa
wikifierez;wi.ki.fi.ʁe
wikifieriez;wi.ki.fi.ʁje
wikifierions;wi.ki.fi.ʁjɔ̃
wikifierons;wi.ki.fi.ʁɔ̃
wikifieront;wi.ki.fi.ʁɔ̃
wikifies;wi.ki.fi
wikifiez;wi.ki.fje
wikifiiez;wi.ki.fi.je
wikifiions;wi.ki.fi.jɔ̃
wikifions;wi.ki.fjɔ̃
wikify;va.ni.ja
wikimédienne;wi.ki.me.djɛn
wikimédiennes;wi.ki.me.djɛn
wikimédiens;wi.ki.me.djɛ̃
wikipédianité;wi.ki.pe.dja.ni.te
wikipédienne;wi.ki.pe.djɛn
wikipédiennes;wi.ki.pe.djɛn
wikipédiens;wi.ki.pe.djɛn
wikipédiesque;wi.ki.pe.djɛsk
wikipédiholique;wi.ki.pe.di.ɔ.lik
wikipédiholisme;wi.ki.pe.di.ɔ.lism
wikipédiste;wi.ki.pe.dist
wikis;wi.ki
wikiversitaire;wi.ki.vɛʁ.si.tɛʁ
wiktionnariste;wik.sjɔ.na.ʁist
wiktionnaristes;wik.sjɔ.na.ʁist
wil;vi.za
wilaya;vi.la.ja
wilayas;vi.la.ja
wildcard;di.mjɛʁ
wildcats;wajp
wildcrafting;vɔk.sɔ.ɡʁa.fi
wilderien;wajl.də.ʁjɛ̃
wilderienne;wajl.də.ʁjɛn
wilderiennes;wajl.də.ʁjɛn
wilderiens;wajl.də.ʁjɛ̃
wilkis;de.ka.lɔ.ʁi.fy.ʒə.ʁɛ
willayas;wi.lɛ.ja
willelmite;vil.lɛl.mit
willelmites;vil.lɛl.mit
williams;wi.ljams
willis;wil.lis
willkomm;vil.kɔm
willow;va.liz
wilnis;de.ka.lɔ.ʁi.fy.ʒə.ʁɛ
wilsonien;wil.sɔ.njɛ̃
wilsonienne;wil.sɔ.njɛn
wilsoniennes;wil.sɔ.njɛn
wilsoniens;wil.sɔ.njɛ̃
wilya;va.la
wimper;wiɡ.wam
winchâmes;win.ʃam
winchât;win.ʃa
winchâtes;win.ʃat
winchèrent;win.ʃɛʁ
winché;win.ʃe
winchée;win.ʃe
winchées;win.ʃe
winchés;win.ʃe
wincha;win.ʃa
winchai;win.ʃe
winchaient;win.ʃɛ
winchais;win.ʃɛ
winchait;win.ʃɛ
winchant;win.ʃɑ̃
winchas;win.ʃa
winchasse;win.ʃas
winchassent;win.ʃas
winchasses;win.ʃas
winchassiez;win.ʃa.sje
winchassions;win.ʃa.sjɔ̃
winche;winʃ
winchent;winʃ
winchera;win.ʃə.ʁa
wincherai;win.ʃə.ʁe
wincheraient;win.ʃə.ʁɛ
wincherais;win.ʃə.ʁɛ
wincherait;win.ʃə.ʁɛ
wincheras;win.ʃə.ʁa
wincherez;win.ʃə.ʁe
wincheriez;win.ʃə.ʁje
wincherions;win.ʃə.ʁjɔ̃
wincherons;win.ʃə.ʁɔ̃
wincheront;win.ʃə.ʁɔ̃
winches;winʃ
winchester;win.tʃɛs.tɛʁ
winchesters;win.ʃɛs.tɛʁ
winchez;win.ʃe
winchiez;win.ʃje
winchions;win.ʃjɔ̃
winchons;win.ʃɔ̃
winchs;winʃ
wind;wɛn
windproofs;dɥa.liz
windzak;dwa.la
wine;wa.tɛʁ
winkel;wist
winkelcentrum;wɛt
winkelgalerij;va.de
winkelier;wɛt
winkeliester;wɛt
winnebago;wi.ne.ba.ɡɔ
winnebagos;wi.ne.ba.ɡɔ
winneur;wi.nœʁ
wino;wi.nɔ
winos;wi.nɔ
wins;wɛn
winsorisation;win.sɔ.ʁi.za.sjɔ̃
winstub;vin.ʃtub
winterisâmes;win.tɛ.ʁi.zam
winterisât;win.tɛ.ʁi.za
winterisâtes;win.tɛ.ʁi.zat
winterisèrent;win.tɛ.ʁi.zɛʁ
winterisé;win.tɛ.ʁi.ze
winterisée;win.tɛ.ʁi.ze
winterisées;win.tɛ.ʁi.ze
winterisés;win.tɛ.ʁi.ze
winterisa;win.tɛ.ʁi.za
winterisai;win.tɛ.ʁi.ze
winterisaient;win.tɛ.ʁi.zɛ
winterisais;win.tɛ.ʁi.zɛ
winterisait;win.tɛ.ʁi.zɛ
winterisant;win.tɛ.ʁi.zɑ̃
winterisas;win.tɛ.ʁi.za
winterisasse;win.tɛ.ʁi.zas
winterisassent;win.tɛ.ʁi.zas
winterisasses;win.tɛ.ʁi.zas
winterisassiez;win.tɛ.ʁi.za.sje
winterisassions;win.tɛ.ʁi.za.sjɔ̃
winterise;win.tɛ.ʁiz
winterisent;win.tɛ.ʁiz
winteriser;win.tɛ.ʁi.ze
winterisera;win.tɛ.ʁi.zə.ʁa
winteriserai;win.tɛ.ʁi.zə.ʁe
winteriseraient;win.tɛ.ʁi.zə.ʁɛ
winteriserais;win.tɛ.ʁi.zə.ʁɛ
winteriserait;win.tɛ.ʁi.zə.ʁɛ
winteriseras;win.tɛ.ʁi.zə.ʁa
winteriserez;win.tɛ.ʁi.zə.ʁe
winteriseriez;win.tɛ.ʁi.zə.ʁje
winteriserions;win.tɛ.ʁi.zə.ʁjɔ̃
winteriserons;win.tɛ.ʁi.zə.ʁɔ̃
winteriseront;win.tɛ.ʁi.zə.ʁɔ̃
winterises;win.tɛ.ʁiz
winterisez;win.tɛ.ʁi.ze
winterisiez;win.tɛ.ʁi.zje
winterisions;win.tɛ.ʁi.zjɔ̃
winterisons;win.tɛ.ʁi.zɔ̃
wintersport;wɛt
wipâmes;waj.pam
wipât;waj.pa
wipâtes;waj.pat
wipèrent;waj.pɛʁ
wipé;waj.pe
wipée;waj.pe
wipées;waj.pe
wipés;waj.pe
wipa;waj.pa
wipai;waj.pe
wipaient;waj.pɛ
wipais;waj.pɛ
wipait;waj.pɛ
wipant;waj.pɑ̃
wipas;waj.pa
wipasse;waj.pas
wipassent;waj.pas
wipasses;waj.pas
wipassiez;waj.pa.sje
wipassions;waj.pa.sjɔ̃
wipe;wajp
wipent;wajp
wiper;waj.pœʁ
wipera;waj.pə.ʁa
wiperai;waj.pə.ʁe
wiperaient;waj.pə.ʁɛ
wiperais;waj.pə.ʁɛ
wiperait;waj.pə.ʁɛ
wiperas;waj.pə.ʁa
wiperez;waj.pə.ʁe
wiperiez;waj.pə.ʁje
wiperions;waj.pə.ʁjɔ̃
wiperons;waj.pə.ʁɔ̃
wiperont;waj.pə.ʁɔ̃
wipes;wajp
wipez;waj.pe
wiphala;wi.pa.la
wiphalas;wi.pa.la
wipiez;waj.pje
wipions;waj.pjɔ̃
wipons;waj.pɔ̃
wiradjuri;de.ze.di.pja.ni.za
wireheads;va.li.da.sjɔ̃
wisérine;vi.ze.ʁin
wiseass;vɛʁ.si.kɔ.lɔʁ
wisi;wo
wisigothe;vi.zi.ɡɔt
wisigothiques;vi.zi.ɡɔ.tik
wisigoths;vi.zi.ɡɔt
wiski;wi.ski
wiskio;vɛʁ.so
wissel;wɛt
wisselgeldautomaat;ve.ʁi.ta.bi.li.ze
wisselkantoor;wɛt
wisselkoers;wɛt
wissen;vjɛt.na.mjɛ̃
wistiti;wis.ti.ti
witiri;wo
witlof;wiɡ.wam
witloof;wit.lof
witt;de.kɔs.mi.zə.ʁɛ
wives;de.sɛʁk.le
wji;do.fi.ne
wls;do.fi.ne
woïwodie;vɔj.vɔ.di
wo;wo
woater;de.za.fi.ʃə.ʁɛ
wobalne;de.ka.lɔ.ʁi.fy.ʒə.ʁɛ
woble;de.ka.lɔ.ʁi.fy.ʒə.ʁɛ
wodach;vi.de.ɔ.tʁɑ̃s.mi.sjɔ̃
wodami;vi.de.ɔ.tʁɑ̃s.mi.sjɔ̃
wodanium;vɔ.da.njɔm
wodo;vi.de.ɔ.tʁɑ̃s.mi.sjɔ̃
wodom;vi.de.ɔ.tʁɑ̃s.mi.sjɔ̃
wody;vi.de.ɔ.tʁɑ̃s.mi.sjɔ̃
wodzie;vi.de.ɔ.tʁɑ̃s.mi.sjɔ̃
woensdag;wist
woh;wo
woiwodie;vɔj.vɔ.di
wojsko;vɛ̃t.sɛ̃k
wok;wɔk
woke;wo.ki.to.ki
woks;wɔk
wolfram;vɔl.fʁam
wolframul;de.dwan.mɑ̃
wolkbreuk;de.kys.ky.tøz
wolof;wɔ.lɔf
wolofe;wɔ.lɔf
wolofes;wɔ.lɔf
wolofs;wɔ.lɔf
wolusanpétrusien;wɔ.ly.sɑ̃.pe.tʁy.sjɛ̃
wolusanpétrusienne;wɔ.ly.sɑ̃.pe.tʁy.sjɛn
wolusanpétrusiennes;wɔ.ly.sɑ̃.pe.tʁy.sjɛn
wolusanpétrusiens;wɔ.ly.sɑ̃.pe.tʁy.sjɛ̃
woluwéenne;wɔ.ly.sɑ̃.pe.tʁy.sjɛn
woluwéennes;wɔ.ly.sɑ̃.pe.tʁy.sjɛn
woluwéens;wɔ.ly.sɑ̃.pe.tʁy.sjɛn
woman;dʒɔb
wombat;wɔ̃.bat
wombats;wɔ̃.bat
won;wɔn
woning;wɛt
woningwetflat;də.ɡʁe.də.li.bɛʁ.te
wons;wɔn
woobies;de.mɔ̃
woodchippings;vi.ʁɔ.faʒ
woodchopping;dɔ.pɑ̃t
woodfordite;wud.fɔʁ.dit
woodshedding;vil
woodstoves;vik.ti.mi.za.sjɔ̃
woofer;wu.fœʁ
woofers;wu.fœʁ
woonkamer;va.de
woordenboek;wɛt
woordenboekje;de.vɔ.ly.sjɔ̃
woordgrapje;wɛt
woote;wɔn
wordforms;disk.lɛ.mœʁ
wordien;wɔʁ.djɛ̃
woreda;wɔ.ʁe.da
woredas;wɔ.ʁe.da
workflow;wɔʁk.flo
worksheets;dʁɔp
wormoverbrenging;ve.o.i.pe
wormpomp;ve.o.i.pe
wormwiel;ve.o.i.pe
wormwielaandrijving;ve.o.i.pe
worse;vi.ʁy.sid
worst;dɥɛl
worsts;dʒɛl.bʁɛk
worthen;de.ɡa.ʁɛ
wote;wo
wouche;wuʃ
wound;dɥɛl
woup;wup
wouppalaye;wu.pa.laj
wouppelaye;wu.pə.laj
woups;wups
wow;waw
wowo;wi.ski
wraith;de.bi.jaʁ.də.ʁɛ
wrap;vʁap
wraths;wɛ.fœʁ
write;dɥɛl
writer;dʒɔb
wrong;dɥɛl
wronskien;wʁɔ̃.sjɛ̃
wronskiens;wʁɔ̃.sjɛ̃
wu;wu
wuffos;vɔ.mɛʁ
wula;vɛʁ.ti.sij
wulfénite;vyl.fe.nit
wurtembergeoise;vuʁ.tɛm.bɛʁ.ʒwaz
wushu;wu.ʃu
wyandotte;vjɑ̃.dɔt
wyandottes;vjɑ̃.dɔt
wyosine;wi.ɔ.zin
