Eastfarnhamien;ist.faʁ.na.mjɛ̃
empunaisées;ɑ̃.py.nɛ.ze
empunaisés;ɑ̃.py.nɛ.ze
empunaisa;ɑ̃.py.nɛ.za
empunaisai;ɑ̃.py.nɛ.ze
empunaisaient;ɑ̃.py.nɛ.zɛ
empunaisais;ɑ̃.py.nɛ.zɛ
empunaisait;ɑ̃.py.nɛ.zɛ
empunaisant;ɑ̃.py.nɛ.zɑ̃
empunaisas;ɑ̃.py.nɛ.za
empunaisasse;ɑ̃.py.nɛ.zas
empunaisassent;ɑ̃.py.nɛ.zas
empunaisasses;ɑ̃.py.nɛ.zas
empunaisassiez;ɑ̃.py.nɛ.za.sje
empunaisassions;ɑ̃.py.nɛ.za.sjɔ̃
empunaise;ɑ̃.py.nɛz
empunaisent;ɑ̃.py.nɛz
empunaiser;ɑ̃.py.nɛ.ze
empunaisera;ɑ̃.py.nɛ.zə.ʁa
empunaiserai;ɑ̃.py.nɛ.zə.ʁe
empunaiseraient;ɑ̃.py.nɛ.zə.ʁɛ
empunaiserais;ɑ̃.py.nɛ.zə.ʁɛ
empunaiserait;ɑ̃.py.nɛ.zə.ʁɛ
empunaiseras;ɑ̃.py.nɛ.zə.ʁa
empunaiserez;ɑ̃.py.nɛ.zə.ʁe
empunaiseriez;ɑ̃.py.nɛ.zə.ʁje
empunaiserions;ɑ̃.py.nɛ.zə.ʁjɔ̃
empunaiserons;ɑ̃.py.nɛ.zə.ʁɔ̃
empunaiseront;ɑ̃.py.nɛ.zə.ʁɔ̃
empunaises;ɑ̃.py.nɛz
empunaisez;ɑ̃.py.nɛ.ze
empunaisiez;ɑ̃.py.nɛ.zje
empunaisions;ɑ̃.py.nɛ.zjɔ̃
empunaisons;ɑ̃.py.nɛ.zɔ̃
empuse;ɑ̃.pyz
empyème;ɑ̃.kɛ.sœʁ
empyréal;ɑ̃.pi.ʁe.al
empyrées;ɑ̃.pi.ʁe
empyreumatique;ɑ̃.pi.ʁø.ma.tik
empyreumatiques;ɑ̃.pi.ʁø.ma.tik
empyreume;ɑ̃.pi.ʁøm
emsien;ɛm.sjɛ̃
emulacja;ɛf.ɑ.o
emulated;ɑ̃.pa.tiz
emulates;ɑ̃.pa.tiz
emulatest;ɑ̃.pa.tiz
emulateth;ɑ̃.pa.tiz
emulating;ɑ̃.pa.tiz
emulators;ɛs.tɛʁ
emulgator;ɛ̃.du.sta.nik
emulsion;ɑ̃.tɔ.fil
emulsions;ɛs.tab.liʃ.mɑ̃t
en;ɑ̃
enabler;e.nab.le
enagrir;e.kɔ.fakt
enaigrîmes;ɑ̃.nɛ.ɡʁim
enaigrît;ɑ̃.nɛ.ɡʁi
enaigrîtes;ɑ̃.nɛ.ɡʁit
enaigri;ɑ̃.nɛ.ɡʁi
enaigrie;ɑ̃.nɛ.ɡʁi
enaigries;ɑ̃.nɛ.ɡʁi
enaigrir;ɑ̃.nɛ.ɡʁiʁ
enaigrira;ɑ̃.nɛ.ɡʁi.ʁa
enaigrirai;ɑ̃.nɛ.ɡʁi.ʁe
enaigriraient;ɑ̃.nɛ.ɡʁi.ʁɛ
enaigrirais;ɑ̃.nɛ.ɡʁi.ʁɛ
enaigrirait;ɑ̃.nɛ.ɡʁi.ʁɛ
enaigriras;ɑ̃.nɛ.ɡʁi.ʁa
enaigrirent;ɑ̃.nɛ.ɡʁiʁ
enaigrirez;ɑ̃.nɛ.ɡʁi.ʁe
enaigririez;ɑ̃.nɛ.ɡʁi.ʁje
enaigririons;ɑ̃.nɛ.ɡʁi.ʁjɔ̃
enaigrirons;ɑ̃.nɛ.ɡʁi.ʁɔ̃
enaigriront;ɑ̃.nɛ.ɡʁi.ʁɔ̃
enaigris;ɑ̃.nɛ.ɡʁi
enaigrissaient;ɑ̃.nɛ.ɡʁi.sɛ
enaigrissais;ɑ̃.nɛ.ɡʁi.sɛ
enaigrissait;ɑ̃.nɛ.ɡʁi.sɛ
enaigrissant;ɑ̃.nɛ.ɡʁi.sɑ̃
enaigrisse;ɑ̃.nɛ.ɡʁis
enaigrissent;ɑ̃.nɛ.ɡʁis
enaigrisses;ɑ̃.nɛ.ɡʁis
enaigrissez;ɑ̃.nɛ.ɡʁi.se
enaigrissiez;ɑ̃.nɛ.ɡʁi.sje
enaigrissions;ɑ̃.nɛ.ɡʁi.sjɔ̃
enaigrissons;ɑ̃.nɛ.ɡʁi.sɔ̃
enaigrit;ɑ̃.nɛ.ɡʁi
enamourâmes;e.na.mu.ʁam
enamourât;e.na.mu.ʁa
enamourâtes;e.na.mu.ʁat
enamourèrent;e.na.mu.ʁɛʁ
enamouré;e.na.mu.ʁe
enamourée;e.na.mu.ʁe
enamourées;ɑ̃.na.mu.ʁe
enamourées;e.na.mu.ʁe
enamourés;e.na.mu.ʁe
enamoura;e.na.mu.ʁa
enamourai;e.na.mu.ʁe
enamouraient;e.na.mu.ʁɛ
enamourais;e.na.mu.ʁɛ
enamourait;e.na.mu.ʁɛ
enamourant;e.na.mu.ʁɑ̃
enamouras;e.na.mu.ʁa
enamourasse;e.na.mu.ʁas
enamourassent;e.na.mu.ʁas
enamourasses;e.na.mu.ʁas
enamourassiez;e.na.mu.ʁa.sje
enamourassions;e.na.mu.ʁa.sjɔ̃
enamoure;e.na.muʁ
enamourent;e.na.muʁ
enamourer;ɑ̃.na.mu.ʁe
enamourera;e.na.mu.ʁə.ʁa
enamourerai;e.na.mu.ʁə.ʁe
enamoureraient;e.na.mu.ʁə.ʁɛ
enamourerais;e.na.mu.ʁə.ʁɛ
enamourerait;e.na.mu.ʁə.ʁɛ
enamoureras;e.na.mu.ʁə.ʁa
enamourerez;e.na.mu.ʁə.ʁe
enamoureriez;e.na.mu.ʁə.ʁje
enamourerions;e.na.mu.ʁə.ʁjɔ̃
enamourerons;e.na.mu.ʁə.ʁɔ̃
enamoureront;e.na.mu.ʁə.ʁɔ̃
enamoures;e.na.muʁ
enamourez;e.na.mu.ʁe
enamouriez;e.na.mu.ʁje
enamourions;e.na.mu.ʁjɔ̃
enamourons;e.na.mu.ʁɔ̃
enarbrâmes;ɑ̃.naʁ.bʁam
enarbrât;ɑ̃.naʁ.bʁa
enarbrâtes;ɑ̃.naʁ.bʁat
enarbrèrent;ɑ̃.naʁ.bʁɛʁ
enarbré;ɑ̃.naʁ.bʁe
enarbrée;ɑ̃.naʁ.bʁe
enarbrées;ɑ̃.naʁ.bʁe
enarbrés;ɑ̃.naʁ.bʁe
enarbra;ɑ̃.naʁ.bʁa
enarbrai;ɑ̃.naʁ.bʁe
enarbraient;ɑ̃.naʁ.bʁɛ
enarbrais;ɑ̃.naʁ.bʁɛ
enarbrait;ɑ̃.naʁ.bʁɛ
enarbrant;ɑ̃.naʁ.bʁɑ̃
enarbras;ɑ̃.naʁ.bʁa
enarbrasse;ɑ̃.naʁ.bʁas
enarbrassent;ɑ̃.naʁ.bʁas
enarbrasses;ɑ̃.naʁ.bʁas
enarbrassiez;ɑ̃.naʁ.bʁa.sje
enarbrassions;ɑ̃.naʁ.bʁa.sjɔ̃
enarbre;ɑ̃.naʁbʁ
enarbrent;ɑ̃.naʁbʁ
enarbrer;ɑ̃.naʁ.bʁe
enarbrera;ɑ̃.naʁ.bʁə.ʁa
enarbrerai;ɑ̃.naʁ.bʁə.ʁe
enarbreraient;ɑ̃.naʁ.bʁə.ʁɛ
enarbrerais;ɑ̃.naʁ.bʁə.ʁɛ
enarbrerait;ɑ̃.naʁ.bʁə.ʁɛ
enarbreras;ɑ̃.naʁ.bʁə.ʁa
enarbrerez;ɑ̃.naʁ.bʁə.ʁe
enarbreriez;ɑ̃.naʁ.bʁə.ʁje
enarbrerions;ɑ̃.naʁ.bʁə.ʁjɔ̃
enarbrerons;ɑ̃.naʁ.bʁə.ʁɔ̃
enarbreront;ɑ̃.naʁ.bʁə.ʁɔ̃
enarbres;ɑ̃.naʁbʁ
enarbrez;ɑ̃.naʁ.bʁe
enarbriez;ɑ̃.naʁ.bʁi.je
enarbrions;ɑ̃.naʁ.bʁi.jɔ̃
enarbrons;ɑ̃.naʁ.bʁɔ̃
enare;ɑ̃.tʁe
enarrhâmes;ɑ̃.na.ʁam
enarrhât;ɑ̃.na.ʁa
enarrhâtes;ɑ̃.na.ʁat
enarrhèrent;ɑ̃.na.ʁɛʁ
enarrhé;ɑ̃.na.ʁe
enarrhée;ɑ̃.na.ʁe
enarrhées;ɑ̃.na.ʁe
enarrhés;ɑ̃.na.ʁe
enarrha;ɑ̃.na.ʁa
enarrhai;ɑ̃.na.ʁe
enarrhaient;ɑ̃.na.ʁɛ
enarrhais;ɑ̃.na.ʁɛ
enarrhait;ɑ̃.na.ʁɛ
enarrhant;ɑ̃.na.ʁɑ̃
enarrhas;ɑ̃.na.ʁa
enarrhasse;ɑ̃.na.ʁas
enarrhassent;ɑ̃.na.ʁas
enarrhasses;ɑ̃.na.ʁas
enarrhassiez;ɑ̃.na.ʁa.sje
enarrhassions;ɑ̃.na.ʁa.sjɔ̃
enarrhe;ɑ̃.naʁ
enarrhemens;ɑ̃.naʁ.mɑ̃
enarrhement;ɑ̃.naʁ.mɑ̃
enarrhements;ɑ̃.naʁ.mɑ̃
enarrhent;ɑ̃.naʁ
enarrher;ɑ̃.na.ʁe
enarrhera;ɑ̃.na.ʁə.ʁa
enarrherai;ɑ̃.na.ʁə.ʁe
enarrheraient;ɑ̃.na.ʁə.ʁɛ
enarrherais;ɑ̃.na.ʁə.ʁɛ
enarrherait;ɑ̃.na.ʁə.ʁɛ
enarrheras;ɑ̃.na.ʁə.ʁa
enarrherez;ɑ̃.na.ʁə.ʁe
enarrheriez;ɑ̃.na.ʁə.ʁje
enarrherions;ɑ̃.na.ʁə.ʁjɔ̃
enarrherons;ɑ̃.na.ʁə.ʁɔ̃
enarrheront;ɑ̃.na.ʁə.ʁɔ̃
enarrhes;ɑ̃.naʁ
enarrheur;ɑ̃.na.ʁœʁ
enarrhez;ɑ̃.na.ʁe
enarrhiez;ɑ̃.na.ʁje
enarrhions;ɑ̃.na.ʁjɔ̃
enarrhons;ɑ̃.na.ʁɔ̃
enatum;ɑ̃.tʁe
enatus;ɑ̃.tʁe
enavi;ɑ̃.tʁe
enbut;ɑ̃.byt
enbuts;ɑ̃.byt
encâblure;ɑ̃.kab.lyʁ
encâblures;ɑ̃.kab.lyʁ
encépagèrent;ɑ̃.se.pa.ʒɛʁ
encépagé;ɑ̃.se.pa.ʒe
encépagée;ɑ̃.se.pa.ʒe
encépagées;ɑ̃.se.pa.ʒe
encépagés;ɑ̃.se.pa.ʒe
encépageâmes;ɑ̃.se.pa.ʒam
encépageât;ɑ̃.se.pa.ʒa
encépageâtes;ɑ̃.se.pa.ʒat
encépage;ɑ̃.se.paʒ
encépagea;ɑ̃.se.pa.ʒa
encépageai;ɑ̃.se.pa.ʒe
encépageaient;ɑ̃.se.pa.ʒɛ
encépageais;ɑ̃.se.pa.ʒɛ
encépageait;ɑ̃.se.pa.ʒɛ
encépageant;ɑ̃.se.pa.ʒɑ̃
encépageas;ɑ̃.se.pa.ʒa
encépageasse;ɑ̃.se.pa.ʒas
encépageassent;ɑ̃.se.pa.ʒas
encépageasses;ɑ̃.se.pa.ʒas
encépageassiez;ɑ̃.se.pa.ʒa.sje
encépageassions;ɑ̃.se.pa.ʒa.sjɔ̃
encépagent;ɑ̃.se.paʒ
encépageons;ɑ̃.se.pa.ʒɔ̃
encépager;ɑ̃.se.pa.ʒe
encépagera;ɑ̃.se.pa.ʒə.ʁa
encépagerai;ɑ̃.se.pa.ʒə.ʁe
encépageraient;ɑ̃.se.pa.ʒə.ʁɛ
encépagerais;ɑ̃.se.pa.ʒə.ʁɛ
encépagerait;ɑ̃.se.pa.ʒə.ʁɛ
encépageras;ɑ̃.se.pa.ʒə.ʁa
encépagerez;ɑ̃.se.pa.ʒə.ʁe
encépageriez;ɑ̃.se.pa.ʒə.ʁje
encépagerions;ɑ̃.se.pa.ʒə.ʁjɔ̃
encépagerons;ɑ̃.se.pa.ʒə.ʁɔ̃
encépageront;ɑ̃.se.pa.ʒə.ʁɔ̃
encépages;ɑ̃.se.paʒ
encépagez;ɑ̃.se.pa.ʒe
encépagiez;ɑ̃.se.pa.ʒje
encépagions;ɑ̃.se.pa.ʒjɔ̃
encéphalalgique;ɑ̃.se.fa.lal.ʒik
encéphale;ɑ̃.se.fal
encéphales;ɑ̃.se.fal
encéphalgie;ɑ̃.se.fal.ʒi
encéphalgies;ɑ̃.se.fal.ʒi
encéphalique;ɑ̃.se.fa.lik
encéphaliques;ɑ̃.se.fa.lik
encéphalisâmes;ɑ̃.se.fa.li.zam
encéphalisât;ɑ̃.se.fa.li.za
encéphalisâtes;ɑ̃.se.fa.li.zat
encéphalisèrent;ɑ̃.se.fa.li.zɛʁ
encéphalisé;ɑ̃.se.fa.li.ze
encéphalisée;ɑ̃.se.fa.li.ze
encéphalisées;ɑ̃.se.fa.li.ze
encéphalisés;ɑ̃.se.fa.li.ze
encéphalisa;ɑ̃.se.fa.li.za
encéphalisai;ɑ̃.se.fa.li.ze
encéphalisaient;ɑ̃.se.fa.li.zɛ
encéphalisais;ɑ̃.se.fa.li.zɛ
encéphalisait;ɑ̃.se.fa.li.zɛ
encéphalisant;ɑ̃.se.fa.li.zɑ̃
encéphalisas;ɑ̃.se.fa.li.za
encéphalisasse;ɑ̃.se.fa.li.zas
encéphalisassent;ɑ̃.se.fa.li.zas
encéphalisasses;ɑ̃.se.fa.li.zas
encéphalisassiez;ɑ̃.se.fa.li.za.sje
encéphalisassions;ɑ̃.se.fa.li.za.sjɔ̃
encéphalise;ɑ̃.se.fa.liz
encéphalisent;ɑ̃.se.fa.liz
encéphaliser;ɑ̃.se.fa.li.ze
encéphalisera;ɑ̃.se.fa.li.zə.ʁa
encéphaliserai;ɑ̃.se.fa.li.zə.ʁe
encéphaliseraient;ɑ̃.se.fa.li.zə.ʁɛ
encéphaliserais;ɑ̃.se.fa.li.zə.ʁɛ
encéphaliserait;ɑ̃.se.fa.li.zə.ʁɛ
encéphaliseras;ɑ̃.se.fa.li.zə.ʁa
encéphaliserez;ɑ̃.se.fa.li.zə.ʁe
encéphaliseriez;ɑ̃.se.fa.li.zə.ʁje
encéphaliserions;ɑ̃.se.fa.li.zə.ʁjɔ̃
encéphaliserons;ɑ̃.se.fa.li.zə.ʁɔ̃
encéphaliseront;ɑ̃.se.fa.li.zə.ʁɔ̃
encéphalises;ɑ̃.se.fa.liz
encéphalisez;ɑ̃.se.fa.li.ze
encéphalisiez;ɑ̃.se.fa.li.zje
encéphalisions;ɑ̃.se.fa.li.zjɔ̃
encéphalisons;ɑ̃.se.fa.li.zɔ̃
encéphalite;ɑ̃.se.fa.lit
encéphalites;ɑ̃.se.fa.lit
encéphalogramme;ɑ̃.se.fa.lo.ɡʁam
encéphalogrammes;ɑ̃.se.fa.lo.ɡʁam
encéphalographie;ɑ̃.se.fa.lɔ.ɡʁa.fi
encéphalographies;ɑ̃.se.fa.lɔ.ɡʁa.fi
encéphalopathie;ɑ̃.se.fa.lɔ.pa.ti
encéphalopathies;ɑ̃.se.fa.lɔ.pa.ti
encabanâmes;ɑ̃.ka.ba.nam
encabanât;ɑ̃.ka.ba.na
encabanâtes;ɑ̃.ka.ba.nat
encabanèrent;ɑ̃.ka.ba.nɛʁ
encabané;ɑ̃.ka.ba.ne
encabanée;ɑ̃.ka.ba.ne
encabanées;ɑ̃.ka.ba.ne
encabanés;ɑ̃.ka.ba.ne
encabana;ɑ̃.ka.ba.na
encabanage;ɑ̃.ka.ba.naʒ
encabanai;ɑ̃.ka.ba.ne
encabanaient;ɑ̃.ka.ba.nɛ
encabanais;ɑ̃.ka.ba.nɛ
encabanait;ɑ̃.ka.ba.nɛ
encabanant;ɑ̃.ka.ba.nɑ̃
encabanas;ɑ̃.ka.ba.na
encabanasse;ɑ̃.ka.ba.nas
encabanassent;ɑ̃.ka.ba.nas
encabanasses;ɑ̃.ka.ba.nas
encabanassiez;ɑ̃.ka.ba.na.sje
encabanassions;ɑ̃.ka.ba.na.sjɔ̃
encabane;ɑ̃.ka.ban
encabanemens;ɑ̃.ka.ban.mɑ̃
encabanement;ɑ̃.ka.ban.mɑ̃
encabanements;ɑ̃.ka.ban.mɑ̃
encabanent;ɑ̃.ka.ban
encabaner;ɑ̃.ka.ba.ne
encabanera;ɑ̃.ka.ba.nə.ʁa
encabanerai;ɑ̃.ka.ba.nə.ʁe
encabaneraient;ɑ̃.ka.ba.nə.ʁɛ
encabanerais;ɑ̃.ka.ba.nə.ʁɛ
encabanerait;ɑ̃.ka.ba.nə.ʁɛ
encabaneras;ɑ̃.ka.ba.nə.ʁa
encabanerez;ɑ̃.ka.ba.nə.ʁe
encabaneriez;ɑ̃.ka.ba.nə.ʁje
encabanerions;ɑ̃.ka.ba.nə.ʁjɔ̃
encabanerons;ɑ̃.ka.ba.nə.ʁɔ̃
encabaneront;ɑ̃.ka.ba.nə.ʁɔ̃
encabanes;ɑ̃.ka.ban
encabanez;ɑ̃.ka.ba.ne
encabaniez;ɑ̃.ka.ba.nje
encabanions;ɑ̃.ka.ba.njɔ̃
encabanons;ɑ̃.ka.ba.nɔ̃
encablure;ɑ̃.kab.lyʁ
encablures;ɑ̃.kab.lyʁ
encabournâmes;ɑ̃.ka.buʁ.nam
encabournât;ɑ̃.ka.buʁ.na
encabournâtes;ɑ̃.ka.buʁ.nat
encabournèrent;ɑ̃.ka.buʁ.nɛʁ
encabourné;ɑ̃.ka.buʁ.ne
encabournée;ɑ̃.ka.buʁ.ne
encabournées;ɑ̃.ka.buʁ.ne
encabournés;ɑ̃.ka.buʁ.ne
encabourna;ɑ̃.ka.buʁ.na
encabournai;ɑ̃.ka.buʁ.ne
encabournaient;ɑ̃.ka.buʁ.nɛ
encabournais;ɑ̃.ka.buʁ.nɛ
encabournait;ɑ̃.ka.buʁ.nɛ
encabournant;ɑ̃.ka.buʁ.nɑ̃
encabournas;ɑ̃.ka.buʁ.na
encabournasse;ɑ̃.ka.buʁ.nas
encabournassent;ɑ̃.ka.buʁ.nas
encabournasses;ɑ̃.ka.buʁ.nas
encabournassiez;ɑ̃.ka.buʁ.na.sje
encabournassions;ɑ̃.ka.buʁ.na.sjɔ̃
encabourne;ɑ̃.ka.buʁn
encabournent;ɑ̃.ka.buʁn
encabourner;ɑ̃.ka.buʁ.ne
encabournera;ɑ̃.ka.buʁ.nə.ʁa
encabournerai;ɑ̃.ka.buʁ.nə.ʁe
encabourneraient;ɑ̃.ka.buʁ.nə.ʁɛ
encabournerais;ɑ̃.ka.buʁ.nə.ʁɛ
encabournerait;ɑ̃.ka.buʁ.nə.ʁɛ
encabourneras;ɑ̃.ka.buʁ.nə.ʁa
encabournerez;ɑ̃.ka.buʁ.nə.ʁe
encabourneriez;ɑ̃.ka.buʁ.nə.ʁje
encabournerions;ɑ̃.ka.buʁ.nə.ʁjɔ̃
encabournerons;ɑ̃.ka.buʁ.nə.ʁɔ̃
encabourneront;ɑ̃.ka.buʁ.nə.ʁɔ̃
encabournes;ɑ̃.ka.buʁn
encabournez;ɑ̃.ka.buʁ.ne
encabourniez;ɑ̃.ka.buʁ.nje
encabournions;ɑ̃.ka.buʁ.njɔ̃
encabournons;ɑ̃.ka.buʁ.nɔ̃
encadastrâmes;ɑ̃.ka.das.tʁam
encadastrât;ɑ̃.ka.das.tʁa
encadastrâtes;ɑ̃.ka.das.tʁat
encadastrèrent;ɑ̃.ka.das.tʁɛʁ
encadastré;ɑ̃.ka.das.tʁe
encadastrée;ɑ̃.ka.das.tʁe
encadastrées;ɑ̃.ka.das.tʁe
encadastrés;ɑ̃.ka.das.tʁe
encadastra;ɑ̃.ka.das.tʁa
encadastrai;ɑ̃.ka.das.tʁe
encadastraient;ɑ̃.ka.das.tʁɛ
encadastrais;ɑ̃.ka.das.tʁɛ
encadastrait;ɑ̃.ka.das.tʁɛ
encadastrant;ɑ̃.ka.das.tʁɑ̃
encadastras;ɑ̃.ka.das.tʁa
encadastrasse;ɑ̃.ka.das.tʁas
encadastrassent;ɑ̃.ka.das.tʁas
encadastrasses;ɑ̃.ka.das.tʁas
encadastrassiez;ɑ̃.ka.das.tʁa.sje
encadastrassions;ɑ̃.ka.das.tʁa.sjɔ̃
encadastre;ɑ̃.ka.dastʁ
encadastrent;ɑ̃.ka.dastʁ
encadastrer;ɑ̃.ka.das.tʁe
encadastrera;ɑ̃.ka.das.tʁə.ʁa
encadastrerai;ɑ̃.ka.das.tʁə.ʁe
encadastreraient;ɑ̃.ka.das.tʁə.ʁɛ
encadastrerais;ɑ̃.ka.das.tʁə.ʁɛ
encadastrerait;ɑ̃.ka.das.tʁə.ʁɛ
encadastreras;ɑ̃.ka.das.tʁə.ʁa
encadastrerez;ɑ̃.ka.das.tʁə.ʁe
encadastreriez;ɑ̃.ka.das.tʁə.ʁje
encadastrerions;ɑ̃.ka.das.tʁə.ʁjɔ̃
encadastrerons;ɑ̃.ka.das.tʁə.ʁɔ̃
encadastreront;ɑ̃.ka.das.tʁə.ʁɔ̃
encadastres;ɑ̃.ka.dastʁ
encadastrez;ɑ̃.ka.das.tʁe
encadastriez;ɑ̃.ka.das.tʁi.je
encadastrions;ɑ̃.ka.das.tʁi.jɔ̃
encadastrons;ɑ̃.ka.das.tʁɔ̃
encadenassâmes;ɑ̃.kad.na.sam
encadenassât;ɑ̃.kad.na.sa
encadenassâtes;ɑ̃.kad.na.sat
encadenassèrent;ɑ̃.kad.na.sɛʁ
encadenassé;ɑ̃.kad.na.se
encadenassée;ɑ̃.kad.na.se
encadenassées;ɑ̃.kad.na.se
encadenassés;ɑ̃.kad.na.se
encadenassa;ɑ̃.kad.na.sa
encadenassai;ɑ̃.kad.na.se
encadenassaient;ɑ̃.kad.na.sɛ
encadenassais;ɑ̃.kad.na.sɛ
encadenassait;ɑ̃.kad.na.sɛ
encadenassant;ɑ̃.kad.na.sɑ̃
encadenassas;ɑ̃.kad.na.sa
encadenassasse;ɑ̃.kad.na.sas
encadenassassent;ɑ̃.kad.na.sas
encadenassasses;ɑ̃.kad.na.sas
encadenassassiez;ɑ̃.kad.na.sa.sje
encadenassassions;ɑ̃.kad.na.sa.sjɔ̃
encadenasse;ɑ̃.kad.nas
encadenassent;ɑ̃.kad.nas
encadenasser;ɑ̃.kad.na.se
encadenassera;ɑ̃.kad.na.sə.ʁa
encadenasserai;ɑ̃.kad.na.sə.ʁe
encadenasseraient;ɑ̃.kad.na.sə.ʁɛ
encadenasserais;ɑ̃.kad.na.sə.ʁɛ
encadenasserait;ɑ̃.kad.na.sə.ʁɛ
encadenasseras;ɑ̃.kad.na.sə.ʁa
encadenasserez;ɑ̃.kad.na.sə.ʁe
encadenasseriez;ɑ̃.kad.na.sə.ʁje
encadenasserions;ɑ̃.kad.na.sə.ʁjɔ̃
encadenasserons;ɑ̃.kad.na.sə.ʁɔ̃
encadenasseront;ɑ̃.kad.na.sə.ʁɔ̃
encadenasses;ɑ̃.kad.nas
encadenassez;ɑ̃.kad.na.se
encadenassiez;ɑ̃.kad.na.sje
encadenassions;ɑ̃.kad.na.sjɔ̃
encadenassons;ɑ̃.kad.na.sɔ̃
encadrâmes;ɑ̃.ka.dʁam
encadrât;ɑ̃.ka.dʁa
encadrâtes;ɑ̃.ka.dʁat
encadrèrent;ɑ̃.ka.dʁɛʁ
encadré;ɑ̃.ka.dʁe
encadrée;ɑ̃.ka.dʁe
encadrées;ɑ̃.ka.dʁe
encadrés;ɑ̃.ka.dʁe
encadra;ɑ̃.ka.dʁa
encadrage;ɑ̃.ka.dʁaʒ
encadrai;ɑ̃.ka.dʁe
encadraient;ɑ̃.ka.dʁɛ
encadrais;ɑ̃.ka.dʁɛ
encadrait;ɑ̃.ka.dʁɛ
encadrant;ɑ̃.ka.dʁɑ̃
encadrante;ɑ̃.ka.dʁɑ̃t
encadrants;ɑ̃.ka.dʁɑ̃
encadras;ɑ̃.ka.dʁa
encadrasse;ɑ̃.ka.dʁas
encadrassent;ɑ̃.ka.dʁas
encadrasses;ɑ̃.ka.dʁas
encadrassiez;ɑ̃.ka.dʁa.sje
encadrassions;ɑ̃.ka.dʁa.sjɔ̃
encadre;ɑ̃.kadʁ
encadrements;ɑ̃.kad.ʁə.mɑ̃
encadrent;ɑ̃.kadʁ
encadrer;ɑ̃.ka.dʁe
encadrera;ɑ̃.ka.dʁə.ʁa
encadrerai;ɑ̃.ka.dʁə.ʁe
encadreraient;ɑ̃.ka.dʁə.ʁɛ
encadrerais;ɑ̃.ka.dʁə.ʁɛ
encadrerait;ɑ̃.ka.dʁə.ʁɛ
encadreras;ɑ̃.ka.dʁə.ʁa
encadrerez;ɑ̃.ka.dʁə.ʁe
encadreriez;ɑ̃.ka.dʁə.ʁje
encadrerions;ɑ̃.ka.dʁə.ʁjɔ̃
encadrerons;ɑ̃.ka.dʁə.ʁɔ̃
encadreront;ɑ̃.ka.dʁə.ʁɔ̃
encadres;ɑ̃.kadʁ
encadreur;ɑ̃.kad.ʁœʁ
encadreurs;ɑ̃.kad.ʁœʁ
encadrez;ɑ̃.ka.dʁe
encadriez;ɑ̃.ka.dʁi.je
encadrions;ɑ̃.ka.dʁi.jɔ̃
encadrons;ɑ̃.ka.dʁɔ̃
encadrure;ɑ̃.ka.dʁyʁ
encadrures;ɑ̃.ka.dʁyʁ
encagèrent;ɑ̃.ka.ʒɛʁ
encagé;ɑ̃.ka.ʒe
encagée;ɑ̃.ka.ʒe
encagées;ɑ̃.ka.ʒe
encagés;ɑ̃.ka.ʒe
encageâmes;ɑ̃.ka.ʒam
encageât;ɑ̃.ka.ʒa
encageâtes;ɑ̃.ka.ʒat
encage;ɑ̃.kaʒ
encagea;ɑ̃.ka.ʒa
encageai;ɑ̃.ka.ʒe
encageaient;ɑ̃.ka.ʒɛ
encageais;ɑ̃.ka.ʒɛ
encageait;ɑ̃.ka.ʒɛ
encageant;ɑ̃.ka.ʒɑ̃
encageas;ɑ̃.ka.ʒa
encageasse;ɑ̃.ka.ʒas
encageassent;ɑ̃.ka.ʒas
encageasses;ɑ̃.ka.ʒas
encageassiez;ɑ̃.ka.ʒa.sje
encageassions;ɑ̃.ka.ʒa.sjɔ̃
encagemens;ɑ̃.kaʒ.mɑ̃
encagement;ɑ̃.kaʒ.mɑ̃
encagements;ɑ̃.kaʒ.mɑ̃
encagent;ɑ̃.kaʒ
encageons;ɑ̃.ka.ʒɔ̃
encager;ɑ̃.ka.ʒe
encagera;ɑ̃.ka.ʒə.ʁa
encagerai;ɑ̃.ka.ʒə.ʁe
encageraient;ɑ̃.ka.ʒə.ʁɛ
encagerais;ɑ̃.ka.ʒə.ʁɛ
encagerait;ɑ̃.ka.ʒə.ʁɛ
encageras;ɑ̃.ka.ʒə.ʁa
encagerez;ɑ̃.ka.ʒə.ʁe
encageriez;ɑ̃.ka.ʒə.ʁje
encagerions;ɑ̃.ka.ʒə.ʁjɔ̃
encagerons;ɑ̃.ka.ʒə.ʁɔ̃
encageront;ɑ̃.ka.ʒə.ʁɔ̃
encages;ɑ̃.kaʒ
encagez;ɑ̃.ka.ʒe
encagiez;ɑ̃.ka.ʒje
encagions;ɑ̃.ka.ʒjɔ̃
encagnardâmes;ɑ̃.ka.ɲaʁ.dam
encagnardât;ɑ̃.ka.ɲaʁ.da
encagnardâtes;ɑ̃.ka.ɲaʁ.dat
encagnardèrent;ɑ̃.ka.ɲaʁ.dɛʁ
encagnardé;ɑ̃.ka.ɲaʁ.de
encagnardée;ɑ̃.ka.ɲaʁ.de
encagnardées;ɑ̃.ka.ɲaʁ.de
encagnardés;ɑ̃.ka.ɲaʁ.de
encagnarda;ɑ̃.ka.ɲaʁ.da
encagnardai;ɑ̃.ka.ɲaʁ.de
